doc_id,centre,total_unique_alerts
2bpclM14KSGe51bB9rhf,"Top Ten",691
2xdFliABL8zjQ4BIXfIQ,"POWER FIVE Villeneuve-le-Roi",863
4zOXf5ItDxc8hQ0PbRdX,"We Are Sports",571
51mTlMkmRKXp8q10qzQH,"Le 13 - Foot en salle - Marseille",0
6f7wXqjtBK1GKsabp9XJ,"Foot 5 Yutz • FFF",15
7k4EKWP2k2Uzg09z1Liw,"LE FIVE Villette",3338
8SvIhq3rSyCTFWXacvXf,"LE FIVE Bezons",2440
AiR98v4lIKeCCHFn9wCL,"LE FIVE Valenciennes",81
B8KxCCO9O8iMJDcFRiqW,"Game 13 foot indoor",776
Dcg7ba1IFYX05gOo2O3x,"Foot 5 Dijon • FFF",31
Dji5FRbdKmnh5qXvTO4z,"Monclub Futbol",791
F4LzU4cPdh2h5ylODDXl,"Kinshasa - Test",0
P0rz5wAuWW88Jzafl37x,"Testing Purposes",0
RXIIghzsISxMjSZ2ZPhv,"Foot-Max Argenteuil",1690
Rci7osKPmoisEJ3x7Brj,"FIVE ARENA MEAUX ",131
S9LU5v018vKqae5uZsiI,"Foot 5 Liffré • FFF",0
SJ0mxQhT9R5vAsVrj67M,"Stade Géo André",2
TLOHFch7jTTqMzqdGeYb,"Foot 5 Veymerange • FFF",17
UL6NvT0NbMVkBlR0LOX2,"FOOT IN FIVE",1688
VGGwFLdpL22T0NSSIgcO,"Footbox",682
YMDwgdSBNhPvXDNtWQpg,"LE FIVE Paris 13",3908
Zi8wDxToO61pd3olG3tt,"LE FIVE Reims",102
bP58TwD21e8M31AfoNKp,"LE FIVE Marville - La Courneuve",2431
cgWe7ZvdpvGtmeWWg7Ns,"Massilia FIVE",674
cq37Wi7nFV5LA1dqtgdX,"Foot 5 Castelmaurou • FFF",0
dGxJPE0Dej2Gvx83IsgP,"KIPSTADIUM",589
evCHlsnsJhR9qa8FTRxh,"LE FIVE Bobigny",2531
fPKYGwMuPQSUzVwNs7PM,"LE FIVE OL",816
gKmlIYa6cz7LbGmLyFVl,"Foot 5 Champigny • FFF",1309
gMZmGZPbrYFqLKOXooHd,"LE FIVE Montreuil",2397
glKPik0tUKh417Gj5F1M,"Soctainer Miami",115
iQGrxvncTA0iy20YqdN4,"Stadium Antibes",171
jPwGC34Ai1CDotlnbw9K,"Speed Soccer Five",1084
k16XkONWLsG21rKCh4wW,"In'Sport",0
kVX0YkOgQI85J4s46jpM,"IMPULSTAR PARK",1615
l23kMjMSuEKucnVHBsfJ,"Stadium Thiais",2308
ltxrzu2YXLeOcKAfkeIH,"Le Street",865
lyGxEifIixQvbaSTDbxZ,"LAB FIVE SOCCER PACOIMA",9
naxmrjsClNZqz6Rsf8r5,"LE FIVE Bordeaux",354
nsEKMwnmgfq1UOkScqma,"LE FIVE Orléans Ingré",146
oCndtPwVUDG0beYcI7XZ,"LE FIVE Champigny",1716
q0j33LZ9SNFweqZjNoic,"Le CR5",336
sEHeIx3t511xlXJU7GeZ,"Firefoot",499
uG4b3TnlkXiyIKnSdwaH,"STADIUM FOOT 5 VILLAGE",619
uTEZSw14EHIwbQCWkMpj,"Athletic Arena",0
ujynsibm0iLqW6K0TXEM,"LE FIVE Paris 17",4199
ulZViDjbASxCdIH8qYKK,"Foot POWER 5",1264
unnmbQkvDpUcFmxHPuKQ,"GINGA STADIUM",215
uxz43cf7Gld3W4EbpOJO,"LE FIVE Créteil",1872
vlAWaPskybV3ZfGxcaWU,"Soccer Complex Miami",67
wRGYaA9RiCQxxa4y6x53,"LE FIVE Paris 18",4565
wXyZf2pb94ZXcyMvvDYT,"Campus Sport dans la Ville  Pantin",1272
yhgYivjTNBfx6Rpzz6MB,"LE FIVE Orléans Fleury",150
