doc_id,centre,total_unique_alerts
2bpclM14KSGe51bB9rhf,"Top Ten",727
2xdFliABL8zjQ4BIXfIQ,"POWER FIVE Villeneuve-le-Roi",932
4zOXf5ItDxc8hQ0PbRdX,"We Are Sports",571
51mTlMkmRKXp8q10qzQH,"Le 13 - Foot en salle - Marseille",0
6f7wXqjtBK1GKsabp9XJ,"Foot 5 Yutz • FFF",18
7k4EKWP2k2Uzg09z1Liw,"LE FIVE Villette",3585
8SvIhq3rSyCTFWXacvXf,"LE FIVE Bezons",2575
AiR98v4lIKeCCHFn9wCL,"LE FIVE Valenciennes",94
B8KxCCO9O8iMJDcFRiqW,"Game 13 foot indoor",779
Dcg7ba1IFYX05gOo2O3x,"Foot 5 Dijon • FFF",34
Dji5FRbdKmnh5qXvTO4z,"Monclub Futbol",807
F4LzU4cPdh2h5ylODDXl,"Kinshasa - Test",0
N8U7vewg5zeoQtBARc9K,"4PADEL Argenteuil",0
P0rz5wAuWW88Jzafl37x,"Testing Purposes",0
QCsjT9IeKDFTP92KVL7q,"LE FIVE Colombes",2
RXIIghzsISxMjSZ2ZPhv,"Foot-Max Argenteuil",1772
Rci7osKPmoisEJ3x7Brj,"FIVE ARENA MEAUX ",131
S9LU5v018vKqae5uZsiI,"Foot 5 Liffré • FFF",0
SJ0mxQhT9R5vAsVrj67M,"Stade Géo André",2
TLOHFch7jTTqMzqdGeYb,"Foot 5 Veymerange • FFF",17
UL6NvT0NbMVkBlR0LOX2,"FOOT IN FIVE",1688
VGGwFLdpL22T0NSSIgcO,"Footbox",709
YMDwgdSBNhPvXDNtWQpg,"LE FIVE Paris 13",4147
Zi8wDxToO61pd3olG3tt,"LE FIVE Reims",114
bP58TwD21e8M31AfoNKp,"LE FIVE Marville - La Courneuve",2438
cgWe7ZvdpvGtmeWWg7Ns,"Massilia FIVE",674
cq37Wi7nFV5LA1dqtgdX,"Foot 5 Castelmaurou • FFF",0
dGxJPE0Dej2Gvx83IsgP,"KIPSTADIUM",600
evCHlsnsJhR9qa8FTRxh,"LE FIVE Bobigny",2661
fPKYGwMuPQSUzVwNs7PM,"LE FIVE OL",856
gKmlIYa6cz7LbGmLyFVl,"Foot 5 Champigny • FFF",1447
gMZmGZPbrYFqLKOXooHd,"LE FIVE Montreuil",2651
glKPik0tUKh417Gj5F1M,"Soctainer Miami",125
iQGrxvncTA0iy20YqdN4,"Stadium Antibes",191
jPwGC34Ai1CDotlnbw9K,"Speed Soccer Five",1084
k16XkONWLsG21rKCh4wW,"In'Sport",0
kVX0YkOgQI85J4s46jpM,"IMPULSTAR PARK",1684
l23kMjMSuEKucnVHBsfJ,"Stadium Thiais",2511
ltxrzu2YXLeOcKAfkeIH,"Le Street",915
lyGxEifIixQvbaSTDbxZ,"LAB FIVE SOCCER PACOIMA",9
naxmrjsClNZqz6Rsf8r5,"LE FIVE Bordeaux",380
nsEKMwnmgfq1UOkScqma,"LE FIVE Orléans Ingré",157
oCndtPwVUDG0beYcI7XZ,"LE FIVE Champigny",1880
q0j33LZ9SNFweqZjNoic,"Le CR5",347
sEHeIx3t511xlXJU7GeZ,"Firefoot",531
uG4b3TnlkXiyIKnSdwaH,"STADIUM FOOT 5 VILLAGE",619
uTEZSw14EHIwbQCWkMpj,"Athletic Arena",0
ujynsibm0iLqW6K0TXEM,"LE FIVE Paris 17",4479
ulZViDjbASxCdIH8qYKK,"Foot POWER 5",1336
unnmbQkvDpUcFmxHPuKQ,"GINGA STADIUM",229
uxz43cf7Gld3W4EbpOJO,"LE FIVE Créteil",2044
vlAWaPskybV3ZfGxcaWU,"Soccer Complex Miami",80
wRGYaA9RiCQxxa4y6x53,"LE FIVE Paris 18",4863
wXyZf2pb94ZXcyMvvDYT,"Campus Sport dans la Ville  Pantin",1269
yhgYivjTNBfx6Rpzz6MB,"LE FIVE Orléans Fleury",164
