centre_place_id,centre_name,sports
ChIJ-2jOt33D9EcRLZL2mS5Gvz4,"Sun Set Soccer",soccer
ChIJ-Ro0hr3nDkgRA0q2y4bBD30,"UrbanSoccer - Rennes Cap Malo",soccer
ChIJ-S82HdRbwokRHcC6tN0__L4,"Brooklyn Force Soccer",soccer
ChIJ-XZhNZeG50cRLANyhp056JE,"Teams5 Amiens",soccer
ChIJ-eisyafYtRIRV-06tEm2VTo,"Footiball Arles",soccer
ChIJ-eyETc2ckUcRBWEN6LGV_u0,"LE FIVE Mulhouse",soccer
ChIJ-zWdGc7SwoARv4eN0GcHeyw,"Urban Soccer 5 Center",soccer
ChIJ02bKSuih6EcRb796CXVbkVs,"FIVE ARENA MEAUX",soccer
ChIJ0WKvjbh75kcRoqSmyWwW2jQ,"UrbanSoccer Meudon",soccer
ChIJ0dXjDCZs5kcRvX0EpMwxsUY,"UrbanSoccer - Porte d'Aubervilliers",soccer
ChIJ0zSROfj15kcR4l0wrCcYPMk,"Firefoot",soccer
ChIJ11ma8IIntBIRZR-K6mKJt68,"All Five Codognan",soccer
ChIJ1aOw95RfwokRe0fEYMdtNJg,"Soccer Center NYC",soccer
ChIJ1emlnUhL9IgRGZwtqD7Zz0k,"Revolution Soccer Complex",soccer
ChIJ291icE063UcR1gWGn8xhzpw,"LE FIVE Lens-Liévin",soccer
ChIJ2cJmdhf15kcRQ4mUOxIVzd0,"GOPARK Pontoise",soccer
ChIJ2dHdMZxr5kcR0aKYHYsp0pY,"LE FIVE Marville - La Courneuve",soccer
ChIJ2xDqIaNjjUcRJPUt8jWX5zI,"Play Arena Besançon",soccer
ChIJ2xTNglV25kcR3UDi4AXGfDU,"Speed Soccer Five",soccer
ChIJ2yg06abuBUgRixLY3NLRh14,"Smash Goal Nantes",soccer
ChIJ33melwQPsRIRJ7UFX-Rd8FM,"Arena Foot Béziers",soccer
ChIJ33wx0UrMyxIRabB0hcTFAz0,"Le Complexe Manosque",soccer
ChIJ39q_xupt5kcRazzdqWLF2s4,"Campus Sport dans la Ville Pantin",soccer
ChIJ3YEPnnax2YgROwtR5SNJvtE,"Soccer Complex Miami",soccer
ChIJ41AMCxC8yRIRLHLGt11sc-U,"FOOT INDOOR Marseille",soccer
ChIJ4Zh9okUpw4ARzt9_t2FR39Y,"SOFIVE - COVINA",soccer
