date,game_invitations,connect,games
2025-03-04,56579,59079,175
2025-03-05,45940,48321,188
2025-03-06,68702,71796,241
2025-03-07,61882,64861,190
2025-03-08,47665,50762,187
2025-03-09,52232,55523,243
2025-03-10,55307,58185,193
2025-03-11,40926,42394,179
2025-03-12,69283,72065,201
2025-03-13,59369,62549,215
2025-03-14,55507,58389,204
2025-03-15,46962,50001,181
2025-03-16,51882,54667,247
2025-03-17,48097,50741,181
2025-03-18,57363,59934,205
2025-03-19,56694,59561,192
2025-03-20,48458,51407,197
2025-03-21,55491,58264,187
2025-03-22,71547,74537,171
2025-03-23,44054,46889,227
2025-03-24,50514,53282,200
2025-03-25,52589,55086,200
2025-03-26,66784,69677,226
2025-03-27,31649,34430,205
2025-03-28,28978,31628,190
2025-03-29,30924,33808,190
2025-03-30,26976,29175,199
2025-03-31,28076,31196,166
2025-04-01,29019,31774,180
2025-04-02,32582,35349,203
2025-04-03,18651,20493,187
