CREATED;TIMES;USER;WEEKDAYS;PLACES
07/03/2024;16:00 17:00 16:30 17:30;00PkXp5nu1eHrDKo4yXB;6 7 3;UrbanSoccer - Rennes Cap Malo-ChIJ-Ro0hr3nDkgRA0q2y4bBD30 UrbanSoccer Rennes Vern-ChIJS5VW0FUnD0gRUd2xV2pEeKY
25/02/2024;20:00 20:30 19:00 19:30 18:00 18:30 21:00 21:30;01QgzmXqkcutZzdNYIU9;1 2 5 4 3 6 7;Allianz Riviera-ChIJxXWpN-_RzRIR0-hEuFMBoOU By foot-ChIJYz1iXyDOzRIRSLYYLDIpmsc Stade du Ray-ChIJ-QMcU-PPzRIRLbYnzXedx48 ULTRA FABRON - PADEL et FOOTBALL-ChIJQdaRXN3RzRIRJ3lhGPRjQ2A Complexe sportif Sam Joubij-ChIJvzKXYf3EzRIRAuQ2kcYYsA4 Stade de l'Ouest-ChIJvblFMwzRzRIRo3CwghjAXYo Ogc Nice Football-ChIJgYEcApzRzRIRPPBbAQuJzGQ OGC Nice Stade Entrainement-ChIJvywHX5DRzRIRpg4sAp8eCM8 Mini Stade Falicon-ChIJxVYuxfHPzRIRzt3dOhvtUzw Stade Méarelli-ChIJKzA2DQXRzRIRZot3pNRyy58 UrbanSoccer - Villeneuve Loubet-ChIJVVVVEU3TzRIRX9_gbFDSBj0 Foot Korner Nice-ChIJAQBU-qfazRIRjkfaivBlSOU Complexe Sportif Municipal Vauban-ChIJxcqiVLXazRIRH4-XnCKuxes Cavigal Nice Sports Section Football-ChIJn0ctJzHFzRIRG9er_M0mtYQ Usonac Saint Roch Vieux Nice Football-ChIJN6ZNRbbFzRIRjbdXr5LHvTE Stade Nicolaï-ChIJ85Nr-y7QzRIRPMHIv9mZkdQ Foot Locker-ChIJh9PAuKfazRIRlt4JuiCkvJk Plateau Sportif Leclerc-ChIJzYMZdDnFzRIRghko4vhmEO4 Stade du Vallon des Fleurs-ChIJAy-VAF_FzRIRpDMo4NhhGHo Stade Saint-Roch-ChIJz5vYujDFzRIRc3Ea40SAfGI
03/03/2024;9:00 23:00;01XJcKnnbFbz10diBiRa;1 2 3 4 5 6 7;UrbanSoccer - Asnières-ChIJi5LkLT9v5kcRSlhScqEFNWs
04/02/2024;18:00 18:30 19:00 19:30 20:00 20:30;01t9IYlsYznmbzzhmtGU;2 1 7;LE FIVE Bezons-ChIJ71Mv0Wpk5kcRg-H9x7L-dXo
08/03/2024;9:00 9:30 10:00 10:30 11:30 11:00 12:00 12:30 13:00 13:30 14:00 14:30 15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:30 19:00 20:30 21:30 21:00 20:00 22:00 22:30 23:00 23:30;02DkWO8KdgureMEb73Wc;1 2 3 4 5 6 7;UrbanSoccer Guyancourt-ChIJmdX-2c-A5kcRj1wtOS8rZmo
26/02/2024;9:00 9:30 10:30 10:00 11:30 11:00 12:00 12:30 13:30 13:00 14:00 14:30 15:30 15:00 16:00 16:30 17:30 17:00 18:00 18:30 19:30 19:00 20:00 20:30;06gNsl3Cvs97XzJl9mDb;1 2 3 4 5 6 7;Sport dans la Ville Rhône-Alpes-ChIJoUEDcmvr9EcRILCz6hDCQ2o F5 Foot Five-ChIJjUbM5G7A9EcRW3mlkrhyXxY We Are Sports-ChIJFZU5oBHC9EcRJTFrSkI1xxg UrbanSoccer - Lyon Parilly-ChIJx3FQWjLC9EcRrrQb2eV7i_4 LE 5 DE LEGENDE-ChIJAQNaA3nc9EcRYvB35x41mBs UrbanSoccer - Lyon Barolles-ChIJN4l-IC3v9EcRf9QJKIVC_aY LE FIVE OL-ChIJmz3whejH9EcR3j9ApNRukKE Sun Set Soccer-ChIJ-2jOt33D9EcRLZL2mS5Gvz4 Factory Sport Games-ChIJNcDntQGO9EcR3CbXF7xfc5o
09/03/2024;12:00 12:30 13:00 13:30 14:00 14:30 15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30;06y7KuEWOeMO9RTsTWXp;1 2 3 4 5 6 7;LE FIVE Montreuil-ChIJJdTQjr0T5kcRZmGxtIJVy44
23/02/2024;0,875;07iNXukozvfP3FstfVNg;1 2 3 4 6 7 5;Events Five-ChIJf8cSCJG5rhIRoQadPH-wW1U Play Soccer-ChIJQ-UxZn-5rhIRKWoQydM5T9s LE FIVE Colomiers-ChIJ8wxhgGexrhIRm698kMPQIRw Classico Foot-ChIJFV442oCxrhIRgsZy5aIbkNs
28/02/2024;20:00 19:30 19:00 18:30 18:00 17:30 17:00 16:30 16:00 15:30 15:00 14:00 14:30 13:30 13:00 12:30 12:00;0HpMk3oLkGvIrbu24Ymh;1 2 3 4 5 6 7;LE FIVE Montreuil-ChIJJdTQjr0T5kcRZmGxtIJVy44 UrbanSoccer - Puteaux-ChIJM_sC0-Nk5kcRhL1y_EFIje8 UrbanSoccer La Défense-ChIJh4rnfVhk5kcRV2Q-ZKdm8vA LE FIVE Champigny-ChIJsXi1PLYN5kcRTVVDuczgS2s LE FIVE Créteil-ChIJ88lx3VwL5kcRVxCh4lD6_Gk
13/02/2024;12:00 12:30 13:00 13:30 14:00 14:30 15:30 15:00 16:00 16:30 17:00 18:00 20:00 21:00 19:00 21:30 20:30 19:30 18:30 17:30;0I9TGykzLOUJQZEAHAvq;4 5 6 7;UrbanSoccer - Puteaux-ChIJM_sC0-Nk5kcRhL1y_EFIje8
03/02/2024;0,5;0KQOTX4IxjyBMXzHM1Rv;2 4;Halle Georges Carpentier-ChIJnXkSwCty5kcR-nlHXNFQlg4
01/03/2024;0,583333333;0L5E3CINRal7jLUozj32;6;GOPARK Pontoise-ChIJ2cJmdhf15kcRQ4mUOxIVzd0
04/03/2024;18:00 18:30 19:00;0Pjdsc61iS5uw8Pd9nel;1;LE FIVE Paris 13-ChIJ_bOSChhz5kcRZMTeq_6Gdzg UrbanSoccer - Quai d'Ivry-ChIJfXxYJ0xy5kcRw9xTkF6-FZQ
20/03/2024;9:00 9:30 10:30 10:00 11:00 11:30 12:30 12:00 13:00 13:30 14:30 14:00 15:00;0REhrBExXx0jFB82y8rb;6;UrbanSoccer La Défense-ChIJh4rnfVhk5kcRV2Q-ZKdm8vA UrbanSoccer - Puteaux-ChIJM_sC0-Nk5kcRhL1y_EFIje8 UrbanSoccer Meudon-ChIJ0WKvjbh75kcRoqSmyWwW2jQ Foot POWER 5-ChIJuTCIFshm5kcRBtEQJ76dAzc
