CREATED,PLACES,TIMES,USER,WEEKDAYS
2024-03-07,UrbanSoccer - Rennes Cap Malo-ChIJ-Ro0hr3nDkgRA0q2y4bBD30 UrbanSoccer Rennes Vern-ChIJS5VW0FUnD0gRUd2xV2pEeKY,_16:00_ _17:00_ _16:30_ _17:30_,00PkXp5nu1eHrDKo4yXB,6 7 3
2024-05-01,LE FIVE Bobigny-ChIJV8UONORs5kcRXxR5Qd7x130 LE FIVE Montreuil-ChIJJdTQjr0T5kcRZmGxtIJVy44 LE FIVE Villette-ChIJTUFnQjps5kcR0pHITLTw1PI LE FIVE Paris 18-ChIJPVT4_n1u5kcRzji6FdTBXXo UrbanSoccer - Porte d'Aubervilliers-ChIJ0dXjDCZs5kcRvX0EpMwxsUY LE FIVE Marville - La Courneuve-ChIJ2dHdMZxr5kcR0aKYHYsp0pY UrbanSoccer - Quai d'Ivry-ChIJfXxYJ0xy5kcRw9xTkF6-FZQ LE FIVE Paris 17-ChIJ7eI8sFNv5kcR5xy52Wc57NU LE FIVE Paris 13-ChIJ_bOSChhz5kcRZMTeq_6Gdzg UrbanSoccer - Asnières-ChIJi5LkLT9v5kcRSlhScqEFNWs LE PARK Noisy-ChIJdUHbID8O5kcRV5lQhiHTvhs LE FIVE Sarcelles-ChIJ6_q3Fxhq5kcRCpoEwnoXX1Q UrbanSoccer La Défense-ChIJh4rnfVhk5kcRV2Q-ZKdm8vA UrbanSoccer - Puteaux-ChIJM_sC0-Nk5kcRhL1y_EFIje8,_23:30_ _22:30_ _21:30_ _20:30_ _19:30_ _18:30_ _17:30_ _16:30_ _15:30_ _14:30_ _13:30_ _12:30_ _23:00_ _22:00_ _21:00_ _20:00_ _19:00_ _18:00_ _17:00_ _16:00_ _15:00_ _14:00_ _13:00_ _12:00_,00kvrbJvXhqLo8gSknv9,1 2 3 4 5 6 7
2024-05-07,UrbanSoccer - Lille Bondues-ChIJ58ZerMgrw0cR2Jyp7tZjBn4 KIPSTADIUM-ChIJydcoT88ow0cRLnHvlF-Z_jE UrbanSoccer - Lille Lezennes-ChIJR3ro5nTWwkcRfM_S3Be9HjI,_17:00_ _18:00_ _17:30_ _18:30_ _19:00_ _19:30_ _20:00_ _20:30_ _21:00_,00rictnsVdg6FdGqC1LU,2 3 4 5
2024-03-30,FC Vallée 78-ChIJ-__PgxuA5kcRT_1uF6GU_q8 Stade Guy de Coubertin-ChIJ9RxZ-x6A5kcR_UCEfBqhNR4,_20:00_,01HSKjYBxL4myHk5xywy,1 2 3 4 5 6 7
2024-02-25,Allianz Riviera-ChIJxXWpN-_RzRIR0-hEuFMBoOU By foot-ChIJYz1iXyDOzRIRSLYYLDIpmsc Stade du Ray-ChIJ-QMcU-PPzRIRLbYnzXedx48 ULTRA FABRON - PADEL et FOOTBALL-ChIJQdaRXN3RzRIRJ3lhGPRjQ2A Complexe sportif Sam Joubij-ChIJvzKXYf3EzRIRAuQ2kcYYsA4 Stade de l'Ouest-ChIJvblFMwzRzRIRo3CwghjAXYo Ogc Nice Football-ChIJgYEcApzRzRIRPPBbAQuJzGQ OGC Nice Stade Entrainement-ChIJvywHX5DRzRIRpg4sAp8eCM8 Mini Stade Falicon-ChIJxVYuxfHPzRIRzt3dOhvtUzw Stade Méarelli-ChIJKzA2DQXRzRIRZot3pNRyy58 UrbanSoccer - Villeneuve Loubet-ChIJVVVVEU3TzRIRX9_gbFDSBj0 Foot Korner Nice-ChIJAQBU-qfazRIRjkfaivBlSOU Complexe Sportif Municipal Vauban-ChIJxcqiVLXazRIRH4-XnCKuxes Cavigal Nice Sports Section Football-ChIJn0ctJzHFzRIRG9er_M0mtYQ Usonac Saint Roch Vieux Nice Football-ChIJN6ZNRbbFzRIRjbdXr5LHvTE Stade Nicolaï-ChIJ85Nr-y7QzRIRPMHIv9mZkdQ Foot Locker-ChIJh9PAuKfazRIRlt4JuiCkvJk Plateau Sportif Leclerc-ChIJzYMZdDnFzRIRghko4vhmEO4 Stade du Vallon des Fleurs-ChIJAy-VAF_FzRIRpDMo4NhhGHo Stade Saint-Roch-ChIJz5vYujDFzRIRc3Ea40SAfGI,_20:00_ _20:30_ _19:00_ _19:30_ _18:00_ _18:30_ _21:00_ _21:30_,01QgzmXqkcutZzdNYIU9,1 2 5 4 3 6 7
2024-03-03,UrbanSoccer - Asnières-ChIJi5LkLT9v5kcRSlhScqEFNWs,_9:00_ _23:00_,01XJcKnnbFbz10diBiRa,1 2 3 4 5 6 7
2024-02-04,LE FIVE Bezons-ChIJ71Mv0Wpk5kcRg-H9x7L-dXo,_18:00_ _18:30_ _19:00_ _19:30_ _20:00_ _20:30_,01t9IYlsYznmbzzhmtGU,2 1 7
2024-03-08,UrbanSoccer Guyancourt-ChIJmdX-2c-A5kcRj1wtOS8rZmo,_9:00_ _9:30_ _10:00_ _10:30_ _11:30_ _11:00_ _12:00_ _12:30_ _13:00_ _13:30_ _14:00_ _14:30_ _15:00_ _15:30_ _16:00_ _16:30_ _17:00_ _17:30_ _18:00_ _18:30_ _19:30_ _19:00_ _20:30_ _21:30_ _21:00_ _20:00_ _22:00_ _22:30_ _23:00_ _23:30_,02DkWO8KdgureMEb73Wc,1 2 3 4 5 6 7
2024-05-07,UrbanSoccer - Marne-La-Vallée-ChIJ6bDBiosP5kcROXiloHzSdhc,_19:00_,05h1rX4CO9mtkUDYn30C,7
2024-04-28,UrbanSoccer La Défense-ChIJh4rnfVhk5kcRV2Q-ZKdm8vA LE FIVE Bezons-ChIJ71Mv0Wpk5kcRg-H9x7L-dXo UrbanSoccer - Puteaux-ChIJM_sC0-Nk5kcRhL1y_EFIje8,_14:00_ _15:00_ _16:00_ _17:00_ _18:00_ _19:00_ _20:00_ _14:30_ _15:30_ _16:30_ _17:30_ _18:30_ _19:30_ _20:30_ _13:00_ _13:30_ _12:00_ _12:30_ _11:00_ _11:30_,05iRAQlLRJ560tjZH74C,6 7
2024-02-26,Sport dans la Ville Rhône-Alpes-ChIJoUEDcmvr9EcRILCz6hDCQ2o F5 Foot Five-ChIJjUbM5G7A9EcRW3mlkrhyXxY We Are Sports-ChIJFZU5oBHC9EcRJTFrSkI1xxg UrbanSoccer - Lyon Parilly-ChIJx3FQWjLC9EcRrrQb2eV7i_4 LE 5 DE LEGENDE-ChIJAQNaA3nc9EcRYvB35x41mBs UrbanSoccer - Lyon Barolles-ChIJN4l-IC3v9EcRf9QJKIVC_aY LE FIVE OL-ChIJmz3whejH9EcR3j9ApNRukKE Sun Set Soccer-ChIJ-2jOt33D9EcRLZL2mS5Gvz4 Factory Sport Games-ChIJNcDntQGO9EcR3CbXF7xfc5o,_9:00_ _9:30_ _10:30_ _10:00_ _11:30_ _11:00_ _12:00_ _12:30_ _13:30_ _13:00_ _14:00_ _14:30_ _15:30_ _15:00_ _16:00_ _16:30_ _17:30_ _17:00_ _18:00_ _18:30_ _19:30_ _19:00_ _20:00_ _20:30_,06gNsl3Cvs97XzJl9mDb,1 2 3 4 5 6 7
2024-03-09,LE FIVE Montreuil-ChIJJdTQjr0T5kcRZmGxtIJVy44,_12:00_ _12:30_ _13:00_ _13:30_ _14:00_ _14:30_ _15:00_ _15:30_ _16:00_ _16:30_ _17:00_ _17:30_ _18:00_ _18:30_ _19:00_ _19:30_,06y7KuEWOeMO9RTsTWXp,1 2 3 4 5 6 7
2024-02-23,Events Five-ChIJf8cSCJG5rhIRoQadPH-wW1U Play Soccer-ChIJQ-UxZn-5rhIRKWoQydM5T9s LE FIVE Colomiers-ChIJ8wxhgGexrhIRm698kMPQIRw Classico Foot-ChIJFV442oCxrhIRgsZy5aIbkNs,_21:00_,07iNXukozvfP3FstfVNg,1 2 3 4 6 7 5
2024-05-17,S-FIVE5-ChIJqzie9xRL5kcRyg89AlwL55E FOOTMAX Saint-Maximin-ChIJJazitpdJ5kcRIN9wK_jwKUY Football Club de Creil-ChIJfxEOA_VJ5kcR5m4fkCothjc All 5 pizza-ChIJWUJUpg9L5kcRYbvSCeEX4ts Stade Vélodrome Roger Salengro-ChIJycDCCLFJ5kcR8eQRPWjs018,_15:00_ _16:00_ _17:00_ _18:00_ _19:00_ _20:00_ _21:00_ _22:00_ _23:00_ _15:30_ _16:30_ _17:30_ _18:30_ _19:30_ _20:30_ _21:30_ _22:30_ _23:30_,0CBtIAM1sRhG6SMrRskc,6 7
2024-05-21,Stade Élisabeth-ChIJkXj9tq5x5kcROlxynHzTh9o,_17:30_ _14:30_ _15:30_ _16:30_,0CNiOYTXLQ6dVygjphLs,5 6 7
2024-05-12,LE FIVE Morangis-ChIJA4uAhOXZ5UcRp-vZXZP-ovY B14 - Sports et Loisirs Indoor-ChIJaeLKMYXe5UcRHyWJ8X8FaPA UrbanSoccer Orsay-ChIJpZIJg7J45kcRrKWKhtbfnEQ UrbanSoccer Evry-ChIJW0Ut1G7e5UcRt621n2fRQ5M Speed Soccer Five-ChIJ2xTNglV25kcR3UDi4AXGfDU Le CR5-ChIJnVE47IHn5UcRr5XRwCaPE38,_9:00_ _21:30_,0DRmlWey5dNdVSy8Gl9x,6
2024-05-15,Sun Set Soccer-ChIJ-2jOt33D9EcRLZL2mS5Gvz4 LE FIVE OL-ChIJmz3whejH9EcR3j9ApNRukKE UrbanSoccer - Lyon Parilly-ChIJx3FQWjLC9EcRrrQb2eV7i_4 LE 5 DE LEGENDE-ChIJAQNaA3nc9EcRYvB35x41mBs We Are Sports-ChIJFZU5oBHC9EcRJTFrSkI1xxg F5 Foot Five-ChIJjUbM5G7A9EcRW3mlkrhyXxY Sport dans la Ville Rhône-Alpes-ChIJoUEDcmvr9EcRILCz6hDCQ2o,_19:30_ _20:00_ _20:30_ _21:00_,0HMLQdHqUhEEnmrkpW5t,1 2 3 4 5 6 7
2024-04-29,UrbanSoccer - Toulouse Sept Deniers-ChIJk5nUBdOkrhIRP-1aUJzo-lA,_22:00_,0HbQ8pcT85jUHWSf4Drm,1 2 3 4 5
2024-02-28,LE FIVE Montreuil-ChIJJdTQjr0T5kcRZmGxtIJVy44 UrbanSoccer - Puteaux-ChIJM_sC0-Nk5kcRhL1y_EFIje8 UrbanSoccer La Défense-ChIJh4rnfVhk5kcRV2Q-ZKdm8vA LE FIVE Champigny-ChIJsXi1PLYN5kcRTVVDuczgS2s LE FIVE Créteil-ChIJ88lx3VwL5kcRVxCh4lD6_Gk,_20:00_ _19:30_ _19:00_ _18:30_ _18:00_ _17:30_ _17:00_ _16:30_ _16:00_ _15:30_ _15:00_ _14:00_ _14:30_ _13:30_ _13:00_ _12:30_ _12:00_,0HpMk3oLkGvIrbu24Ymh,1 2 3 4 5 6 7
2024-02-13,UrbanSoccer - Puteaux-ChIJM_sC0-Nk5kcRhL1y_EFIje8,_12:00_ _12:30_ _13:00_ _13:30_ _14:00_ _14:30_ _15:30_ _15:00_ _16:00_ _16:30_ _17:00_ _18:00_ _20:00_ _21:00_ _19:00_ _21:30_ _20:30_ _19:30_ _18:30_ _17:30_,0I9TGykzLOUJQZEAHAvq,4 5 6 7
2024-05-08,UrbanSoccer - Toulouse Sept Deniers-ChIJk5nUBdOkrhIRP-1aUJzo-lA UrbanSoccer - Toulouse Montaudran-ChIJl772e0u8rhIR2foRX4Xa2CI,_16:00_ _17:00_ _18:00_ _19:00_,0IKsNXIxv4nQVxIl4Ss6,6 7
2024-02-03,Halle Georges Carpentier-ChIJnXkSwCty5kcR-nlHXNFQlg4,_12:00_,0KQOTX4IxjyBMXzHM1Rv,2 4
2024-03-01,GOPARK Pontoise-ChIJ2cJmdhf15kcRQ4mUOxIVzd0,_14:00_,0L5E3CINRal7jLUozj32,6
2024-04-24,KIPSTADIUM-ChIJydcoT88ow0cRLnHvlF-Z_jE UrbanSoccer - Lille Bondues-ChIJ58ZerMgrw0cR2Jyp7tZjBn4 Footsal Cousinerie-ChIJXQyb1d8pw0cRLO_Ed5xHTIQ Footsal-ChIJa7HS298pw0cRMoVDj0XqVdI UrbanSoccer - Lille Lezennes-ChIJR3ro5nTWwkcRfM_S3Be9HjI Arena Club-ChIJeWJWRjYvw0cRbnJR4ZXAKMA Spot FUTSAL-ChIJwdUawmfVwkcRaNLo_CmNii0,_9:00_ _9:30_ _10:00_ _10:30_,0LurshZZOqQIugFN0uZJ,1 2 3 4 5 6 7
2024-04-09,FOOT IN FIVE-ChIJoUR0syFp5kcRUlStnwluaYY LE FIVE Sarcelles-ChIJ6_q3Fxhq5kcRCpoEwnoXX1Q,_14:00_ _14:30_ _15:00_ _15:30_ _16:00_ _16:30_ _17:00_ _17:30_ _18:00_ _18:30_,0LwLeAHwLx9LaDDUW4yc,6 7
2024-03-29,LE FIVE Marville - La Courneuve-ChIJ2dHdMZxr5kcR0aKYHYsp0pY LE FIVE Paris 18-ChIJPVT4_n1u5kcRzji6FdTBXXo LE FIVE Paris 17-ChIJ7eI8sFNv5kcR5xy52Wc57NU FOOT IN FIVE-ChIJoUR0syFp5kcRUlStnwluaYY LE FIVE Paris 13-ChIJ_bOSChhz5kcRZMTeq_6Gdzg UrbanSoccer La Défense-ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,_9:00_ _9:30_ _10:30_ _10:00_ _12:00_ _11:30_ _11:00_ _12:30_ _13:30_ _13:00_ _14:00_ _14:30_ _15:30_ _15:00_ _16:30_ _16:00_ _17:00_ _17:30_ _18:30_ _18:00_ _19:00_ _19:30_ _20:30_ _20:00_,0M3jvgVd0GkWFsvGmvOd,5 6 7
2024-04-27,Angers SCO Footsal-ChIJJXOtQ3d5CEgR5gqmLBWjkK4 UrbanSoccer - Angers-ChIJBcOLHhJ_CEgRBi_FUHPvAQ0,_18:00_ _18:30_ _19:00_ _19:30_ _20:00_ _20:30_ _21:00_ _21:30_ _22:00_ _22:30_ _23:00_ _23:30_ _17:00_ _17:30_,0MeBI0zj4RiLroVTtQbn,1 2 3 4 5 6 7
2024-04-21,UrbanSoccer La Défense-ChIJh4rnfVhk5kcRV2Q-ZKdm8vA UrbanSoccer - Puteaux-ChIJM_sC0-Nk5kcRhL1y_EFIje8 LE FIVE Paris 17-ChIJ7eI8sFNv5kcR5xy52Wc57NU,_14:00_,0My0Do7xfANZiPwHWvtp,7
