DOC_ID,CENTRE,PLACE_ID
3HYOCefPpf7l7oDp4rbJ,UrbanSoccer Evry,ChIJW0Ut1G7e5UcRt621n2fRQ5M
66sBJ1DHyonGxvGZDuLN,LE FIVE Paris 13,ChIJ_bOSChhz5kcRZMTeq_6Gdzg
6CIZ91rWSxCO1UQ2Dsxn,FIVE ARENA MEAUX,ChIJ02bKSuih6EcRb796CXVbkVs
7BbXNduHwAtYavQ7uSnG,Speed Soccer Five,ChIJ2xTNglV25kcR3UDi4AXGfDU
7u10tYI2J6wrpUmZStm9,UrbanSoccer - Marne-La-Vallée,ChIJ6bDBiosP5kcROXiloHzSdhc
9xXghjIxp93f68f9C3Vo,LE FIVE Champigny,ChIJsXi1PLYN5kcRTVVDuczgS2s
BvY3DhQizxXV3w6f3Hbr,LE FIVE Sarcelles,ChIJ6_q3Fxhq5kcRCpoEwnoXX1Q
IMCJhD4GsXSRHGwYbdQO,LE FIVE Carrières-sous-Poissy,ChIJ9T4fWfyL5kcRCBX-FyZLvEE
IcIq9aWu5P7OTJ61oCHN,LE FIVE Marville - La Courneuve,ChIJ2dHdMZxr5kcR0aKYHYsp0pY
KSbwyCj9i8OZXMiiqflF,UrbanSoccer - Porte d'Aubervilliers,ChIJ0dXjDCZs5kcRvX0EpMwxsUY
LHyOzzf3O2FJRQpYN4Lq,UrbanSoccer Guyancourt,ChIJmdX-2c-A5kcRj1wtOS8rZmo
LVrgmOp2HORJaIwrG8p3,LE FIVE Créteil,ChIJ88lx3VwL5kcRVxCh4lD6_Gk
MPetocHnSQRDxzTQsJ2U,UrbanSoccer Meudon,ChIJ0WKvjbh75kcRoqSmyWwW2jQ
MZoccGGhFUoibgkI5Ivu,LE FIVE Montreuil,ChIJJdTQjr0T5kcRZmGxtIJVy44
SKEctk7zwtjoRqzzdNkT,Stadium Thiais,ChIJ64X9jzx05kcRsHvSfOv6UcA
UaLlXwEcoRt28eL4Cmjm,UrbanSoccer - Asnières,ChIJi5LkLT9v5kcRSlhScqEFNWs
VgbDm71u9CIl7xJYnU6c,Foot POWER 5,ChIJuTCIFshm5kcRBtEQJ76dAzc
WZFO10a4yxzUypiozVlE,UrbanSoccer - Quai d'Ivry,ChIJfXxYJ0xy5kcRw9xTkF6-FZQ
X01N7yNqNzIkO5UwKp7t,Foot-Max Argenteuil,ChIJi9oIzaRm5kcRJYcK7QsdRMU
X11XnYyKSTzEcI7LFrHH,LE FIVE Bezons,ChIJ71Mv0Wpk5kcRg-H9x7L-dXo
bWrnmpYePMdVw91kosSB,UrbanSoccer Orsay,ChIJpZIJg7J45kcRrKWKhtbfnEQ
k9cUZ7VCYHcKWh7qHKHd,UrbanSoccer La Défense,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA
nKnJschdFsvnb287psdp,LE FIVE Morangis,ChIJA4uAhOXZ5UcRp-vZXZP-ovY
nzs8Usi2KrUFy92Cov3v,FOOT IN FIVE,ChIJoUR0syFp5kcRUlStnwluaYY
oDB5krf0LOw1ZNNqXCCD,UrbanSoccer - Puteaux,ChIJM_sC0-Nk5kcRhL1y_EFIje8
okgWRQnFVQQh89NjjVXJ,LE FIVE Villette,ChIJTUFnQjps5kcR0pHITLTw1PI
plmosa7aSHbuygUvYx4R,LE FIVE Bobigny,ChIJV8UONORs5kcRXxR5Qd7x130
rD3Fjk68QBDb8jUtVc7L,LE FIVE Paris 18,ChIJPVT4_n1u5kcRzji6FdTBXXo
rG59DRo1lewFUT8haF7G,Élite 5 Soccer,ChIJ5-jfdlZk5kcRYIaELgvikaM
tladgZwRgT9CRTl5fLRV,Top Ten,ChIJfXprBx4b5kcRmhe-5pLZUek
uNDYKKA4SVoKnURSSGye,LE FIVE Paris 17,ChIJ7eI8sFNv5kcR5xy52Wc57NU
