CENTRE,TOTAL,PUBLISHED,PLAYED,CANCELED,HIDDEN,ORGANISATEURS_UNIQUES,GOLD_EXCLUSIVE_TRUE,GOLD_EXCLUSIVE_FALSE
UrbanSoccer - Porte d'Aubervilliers,981,66,559,356,0,345,906,75
LE FIVE Paris 18,967,90,556,321,0,502,932,35
UrbanSoccer - Quai d'Ivry,966,74,599,293,0,368,928,38
UrbanSoccer La Défense,849,67,515,267,0,373,787,62
Stadium Thiais,739,145,469,125,0,155,1,738
LE FIVE Villette,614,48,336,230,0,257,579,35
LE FIVE Paris 17,612,42,392,178,0,305,602,10
UrbanSoccer - Asnières,523,44,301,178,0,190,514,9
Sport dans la Ville Rhône-Alpes,475,43,284,148,0,121,3,472
UrbanSoccer - Lille Lezennes,439,31,215,193,0,123,421,18
LE FIVE Paris 13,434,40,248,146,0,214,417,17
LE FIVE Marville - La Courneuve,389,42,196,151,0,177,368,21
Monclub Futbol,316,27,157,132,0,69,308,8
UrbanSoccer Meudon,306,32,161,113,0,115,296,10
LE FIVE Bezons,300,19,159,122,0,158,284,16
LE FIVE Carrières-sous-Poissy,300,44,145,111,0,65,0,300
UrbanSoccer - Puteaux,300,21,206,73,0,99,283,17
UrbanSoccer - Marne-La-Vallée,285,22,148,115,0,97,279,6
Play Soccer,279,33,153,93,0,22,276,3
UrbanSoccer - Puteaux-République,273,26,174,73,0,150,262,11
UrbanSoccer - Lyon Parilly,266,28,135,103,0,99,260,6
LE FIVE Montreuil,258,29,106,123,0,149,241,17
Stadium Thiais Orly,242,25,131,86,0,102,3,239
UrbanSoccer Evry,235,31,84,120,0,83,226,9
LE FIVE Bobigny,211,21,107,83,0,89,204,7
LE FIVE Morangis,206,20,117,69,0,77,1,205
UrbanSoccer Guyancourt,206,21,107,78,0,69,202,4
LE FIVE Sarcelles,203,28,86,89,0,71,194,9
LE FIVE Créteil,197,29,81,87,0,109,193,4
Z5 Aix,185,15,91,79,0,60,173,12
UrbanSoccer - Lille Bondues,182,18,97,67,0,66,177,5
Stade Élisabeth,170,16,113,41,0,19,0,170
IMPULSTAR PARK,169,16,82,71,0,80,1,168
UrbanSoccer Orsay,168,22,70,76,0,63,161,7
UrbanSoccer - Puteaux-Île,161,19,54,88,0,74,134,27
F5 Foot Five,151,15,68,68,0,41,150,1
We Are Sports,147,11,74,62,0,61,139,8
UrbanSoccer - Toulouse Sept Deniers,144,17,59,68,0,66,141,3
Parc Interdépartemental des Sports du Tremblay,138,31,62,45,0,44,0,138
Le 13 - Foot en salle - Marseille,130,14,63,53,0,59,123,7
Stade Yves du Manoir,128,15,70,43,0,28,0,128
LE FIVE Champigny,126,7,56,63,0,61,113,13
UrbanSoccer - Toulouse Montaudran,112,12,49,51,0,51,104,8
Cité des Sports,108,7,74,27,0,54,0,108
Evolution Football,105,8,62,35,0,30,103,2
STADIUM FOOT 5 VILLAGE,100,7,42,51,0,23,96,4
Foot POWER 5,99,3,64,32,0,33,4,95
LE FIVE OL,97,7,58,32,0,44,0,97
Plaine des Jeux de Gerland,96,16,43,37,0,16,0,96
Centre Sportif Suchet,94,19,30,45,0,4,0,94
