DOC_ID,CENTRE,STATUS,TYPE,PLACE_ID,LOCATION,DATE
004c7MvU1HV2sCEECJd7,LE FIVE Paris 18,published,pro,ChIJpVT4_n1u5kcRzji6FdTBXXo,48.8978522&2.3700234,2024-03-31T20:30:00.000Z
00D0EPKylfi3bz0wt7ZI,Game 13 foot indoor,canceled,captain,ChIJNSDvlsXryRIRUXao9hwB79I,43.41258939999999&5.366617,2023-10-16T18:30:00.000Z
00DGQXeWqAz0UDraRIyX,UrbanSoccer - Lyon Barolles,canceled,captain,ChIJN4l-IC3v9EcRf9QJKIVC_aY,45.6837539&4.7725939,2024-01-31T17:30:00.000Z
00HTbiPPxn91ynn7qR1L,UrbanSoccer - Porte d'Aubervilliers,played,captain,ChIJ0dXjDCZs5kcRvX0EpMwxsUY,48.9074912&2.3746518,2024-01-07T10:00:00.000Z
00KQmUOvGxj4u2l7AKnP,UrbanSoccer - Lille Lezennes,canceled,captain,,50.6169533&3.0995426,2023-09-05T20:00:00.000Z
00LrLdN1UmDSaFH0PwoM,We Are Sports,canceled,captain,ChIJFZU5oBHC9EcRJTFrSkI1xxg,45.7113247&4.8761886,2023-10-29T09:00:00.000Z
00LwjmzZM54oiCeZpqUz,LE PARK Complexe Multisports,canceled,captain,ChIJdUHbID8O5kcRV5lQhiHTvhs,48.8337843&2.5728501,2024-02-03T09:15:00.000Z
00NjDYA0rVMKo7x0Z4iR,Footbox,published,captain,ChIJY-WkusIR5kcR-tEad3UtaSQ,48.9022789&2.582647,2024-01-07T17:00:00.000Z
00eHWDuZqESMgqL1WRhK,UrbanSoccer La Défense,draft,captain,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2023-12-27T17:45:00.000Z
00pEnMODhbHxhdN9bcOs,Stadium Thiais,played,pro,,48.7511024&2.3713455,2023-10-31T16:30:00.000Z
00pmhG4IkKds1ZDVdsso,Foot POWER 5,canceled,pro,,48.960066&2.2061913,2024-02-06T17:00:00.000Z
00zKqorbhZeaIg0UDJDF,Le 13 - Foot en salle - Marseille,canceled,captain,ChIJR62kUm_ByRIRDnGQqGCeUVQ,43.33370070000001&5.370389599999999,2024-01-23T22:15:00.000Z
01DNdi3KlujTX6skrg3g,Game 13 foot indoor,played,captain,ChIJNSDvlsXryRIRUXao9hwB79I,43.41258939999999&5.366617,2024-01-23T20:30:00.000Z
01JxNMzkCrf2HKGsi0nV,LE FIVE Carrières-sous-Poissy,played,captain,,48.9468144&2.0230574,2023-09-08T20:00:00.000Z
01QB6kfRmLf35vYRDrOE,Stade de foot Pompadour,published,captain,ChIJZWcRAWN15kcR0aRSqeWgmaI,48.773015&2.432866,2024-01-06T11:00:00.000Z
01ZbJa9fM9COMXnLynCM,LE FIVE Paris 18,played,captain,ChIJpVT4_n1u5kcRzji6FdTBXXo,48.8978522&2.3700234,2024-01-10T17:30:00.000Z
01aiIXTWgJgnxa4xFnIt,LE FIVE Paris 17,played,captain,,48.900032&2.3213449,2023-09-02T15:00:00.000Z
01fMyFWQrEhSbW2upztG,Stadium Thiais,draft,captain,ChIJ64X9jzx05kcRsHvSfOv6UcA,48.7511024&2.3713455,2023-12-02T16:00:00.000Z
01jD9vZcBDyWmvyuUi4d,Complexe sportif de l'île des Vannes,published,captain,ChIJTZWfSNNv5kcRmHP3Tz0AJ6A,48.9188419&2.3245603,2024-02-11T15:45:00.000Z
02P4Ad46JMOKQr3nHXVI,LE FIVE Montreuil,published,pro,ChIJJdTQjr0T5kcRZmGxtIJVy44,48.8613036&2.4653095,2024-02-27T09:00:00.000Z
02VDY3BeIYvvYul4Tl3O,UrbanSoccer - Puteaux,played,captain,ChIJM_sC0-Nk5kcRhL1y_EFIje8,48.8836397&2.2312283,2023-11-04T12:30:00.000Z
02VdYJG2vTOPskH6b3Ap,LE FIVE Marville - La Courneuve,published,pro,,48.9361223&2.3872592,2023-10-03T12:00:00.000Z
02VnHmYYH6sbXXDTODQa,Stadium Thiais,hidden,pro,ChIJ64X9jzx05kcRsHvSfOv6UcA,48.7511024&2.3713455,2024-02-09T19:30:00.000Z
02WXbhGT2w7FtZZbdOEJ,UrbanSoccer - Puteaux,canceled,captain,,48.8836397&2.2312283,2023-09-22T18:00:00.000Z
02h87XMAB9N8Lny6HT0I,UrbanSoccer - Puteaux,canceled,captain,ChIJM_sC0-Nk5kcRhL1y_EFIje8,48.8836397&2.2312283,2023-10-20T17:15:00.000Z
02lQ08jQ1qczkosCpNjh,UrbanSoccer - Porte d'Aubervilliers,played,captain,,48.9074912&2.3746518,2023-09-10T15:30:00.000Z
02oYRZOn2hoOvj1GYNYI,LE FIVE Montreuil,played,captain,ChIJJdTQjr0T5kcRZmGxtIJVy44,48.8607303&2.4650432,2024-02-16T19:00:00.000Z
02oe8khjbfJUb1QNXSTN,UrbanSoccer Orsay,canceled,captain,ChIJpZIJg7J45kcRrKWKhtbfnEQ,48.70829&2.17794,2023-12-16T10:00:00.000Z
02u5zUYR9AcOED2YnEYT,Créteil Pompadour,published,captain,ChIJX79lm6d05kcRdvnIvrrCKDc,48.771485&2.4353447,2024-01-21T12:00:00.000Z
03Alcz66wSkAUuELRV7P,STADE PIERRE BOURDAN,played,captain,ChIJlzXk7HLr9EcR8P0J9oTn_Pk,45.79243109999999&4.840371699999999,2023-10-01T08:00:00.000Z
03DtLtqnJ2ZNo2pk6TTK,UrbanSoccer La Défense,played,captain,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2023-11-19T18:00:00.000Z
03QkqZQKOCy1BQmtdDwH,Stadium Thiais,played,pro,,48.7511024&2.3713455,2023-09-05T17:30:00.000Z
03RR9bdwDPRyQ33rcYFw,UrbanSoccer - Quai d'Ivry,played,captain,ChIJfXxYJ0xy5kcRw9xTkF6-FZQ,48.8199815&2.3936307,2023-11-19T19:15:00.000Z
03U0BusYBA2ehxFNqCat,LE FIVE Créteil,published,pro,ChIJ88lx3VwL5kcRVxCh4lD6_Gk,48.7643086&2.4706522,2024-03-04T16:00:00.000Z
