MESSAGE,SENDER,SOURCE,DATETIME,STATUS,PICTURE,TITLE,DESTINATION,RECIPIENT,THREAD,HASH_PIC,GAME,GAME_INVITATION,TITLE_EN,TITLE_ES,TITLE_IT,MESSAGE_EN,MESSAGE_ES,MESSAGE_IT;;
"Moms Zra a rejoint le match. On continue de chercher le joueur manquant.,WApl1OVEyVXDHbnqFJFkNqG0QHY2,joingame,2024-07-27T08:21:48.535Z,published,https://firebasestorage.googleapis.com/v0/b/krank-club.appspot.com/o/users%2FWApl1OVEyVXDHbnqFJFkNqG0QHY2%2Fuploads%2F1702915662576197.jpg?alt=media&token=cb550231-fb2f-4cd1-9d3a-41c1ef4e3da9,Nouveau joueur ⚽️,https://poteau.app/game/GFXLk9Cwjflns3NQrXry,""8i5faoQkJ4YSkhRB5skPBLiEh1G3, UEs5XzTYOyQWAhs78XqwADEemQD2, EeTB7rRCpJY35ni8jtnjMFH13B43, 8i5faoQkJ4YSkhRB5skPBLiEh1G3"",,LIJ@O6%gu6yEMwW=nhV@O]M|R4IU,GFXLk9Cwjflns3NQrXry,,,,,,,";;
"Bonjour 
Je serais un peu en  retard .,pkeqAlQKv4fONxElkVr2bRxseEv2,gamesheet,2024-07-27T08:22:24.124Z,published,https://firebasestorage.googleapis.com/v0/b/krank-club.appspot.com/o/users%2FpkeqAlQKv4fONxElkVr2bRxseEv2%2Fuploads%2F1721899377237544.jpg?alt=media&token=45c79e6f-65a9-4a0f-86b5-680e42838161,Jean-Paul DINHO 💬,https://poteau.app/game/vQEMBh4WUsziilDBd6jr,""iRAMWoPCqwdSZKouDLvZIfOl63q1, pkeqAlQKv4fONxElkVr2bRxseEv2, wxI4dpLFReZnHg0oCOHGE3WBWeN2, WYUiUNuNoWhJHZlNhp4gcZ8fjqr2, 8l8nKOPStJZ09YXVQyL6NO0kMkP2, FPYbd0M6lmdA1cZJAmjAtP7f6ya2, 1BXskY9WX6P4wdsdorbHwjYU11D2, C0XVc4WD1fXlyYjdAdslHKgOWzj2, qpBjVPC0BXWIRHrqFXbFPS2oZPd2, Cw12QT8l6ghJeYs78kSskQpLbMC2, psf3NmXEPwdCltHKJC7VuvJocrF3"",,,vQEMBh4WUsziilDBd6jr,,,,,,,";;
"Hugo PRN a quitté le match. On continue de chercher les 10 joueurs manquants.,7o7abDEM3iahoLY3PO6WKW9EJtj1,gamesheet,2024-07-27T08:24:18.885Z,published,https://firebasestorage.googleapis.com/v0/b/krank-club.appspot.com/o/users%2F7o7abDEM3iahoLY3PO6WKW9EJtj1%2Fuploads%2F1716051548558185.jpg?alt=media&token=6718148f-6e2d-43b4-b15f-940f988cd329,Un joueur se retire 👋,https://poteau.app/game/Z7SJ0wNj2Ab2kUxF93u9,""tDAEQ22V6ST0e0qJfInFD49VA6F3, gmiK75VJQiO03lVqW0zqrN8M4TI2"",,LTIzbU%1~8%1nhj?WXju-4oJENWB,Z7SJ0wNj2Ab2kUxF93u9,,,,,,,";;
Juanito  Sisinho a rejoint le match. On continue de chercher les 9 joueurs manquants.,1XurtWPyZHYXoZDTEwwJL4FWEK23,joingame,2024-07-27T08:26:33.347Z,published,https://firebasestorage.googleapis.com/v0/b/krank-club.appspot.com/o/users%2F1XurtWPyZHYXoZDTEwwJL4FWEK23%2Fuploads%2F1693560738442987.jpg?alt=media&token=bdc34332-b493-4526-90d7-f2ba5405c36f,Nouveau joueur ⚽️,https://poteau.app/game/pd3YnjAae4P1MkLRsKG0,psf3NmXEPwdCltHKJC7VuvJocrF3,,KCMtaOof0000ay_3xufQ~q,pd3YnjAae4P1MkLRsKG0,,,,,,,;;
"Si désistement je suis dispo ,GPeL1wY6pVWK3ojKVuDpLsTgObC2,gamesheet,2024-07-27T08:27:15.184Z,published,https://firebasestorage.googleapis.com/v0/b/krank-club.appspot.com/o/users%2FGPeL1wY6pVWK3ojKVuDpLsTgObC2%2Fuploads%2F1706730325685014.jpg?alt=media&token=ee223a02-a9d0-4a69-bdbc-25bbc5e40b12,Faress Salloum 💬,https://poteau.app/game/lR6WdOAvOsL9MQaWYkeg,""bb8ZZhJ4WMVcn5bAxb10kt8pUCp2, Bpa7lXTmn5UhAPSG27IyNE3nVom2, jSaKkcZf9jb1OLj6vaZS7mNUVtY2, 5lpRNriG2CQ8JFVtOF2c3dlto0f2, jI2N9cuRf5SCl7fDChMQV9SU9Yd2, dWWy5oTSJ0Pzdbmn5tC03IaqnWs2, 14VJugfrzWZMUL4YlS6EoE4YuGs1, bb8ZZhJ4WMVcn5bAxb10kt8pUCp2"",,,lR6WdOAvOsL9MQaWYkeg,,,,,,,";;
Yanis Nueve t'invite pour un foot aujourd'hui à 16:00. Réponds-lui dès que possible,3P3po2oV3jTkJCqCKei23JTTYZC3,game_invitation,2024-07-27T08:27:27.438Z,published,https://firebasestorage.googleapis.com/v0/b/krank-club.appspot.com/o/users%2F3P3po2oV3jTkJCqCKei23JTTYZC3%2Fuploads%2F1703788226955382.jpg?alt=media&token=fb7379bb-f86f-44a6-86ea-35ccc9c3215d,Invitation en attente ⚠️,https://poteau.app/game/8lzwyfsmIcTGANAFKB2D,F5Qdj6cZKGUa9oOMqyhbttpDNx72,,LB9GU8R*IVt6T0jsRjj[0#jZnhR*,8lzwyfsmIcTGANAFKB2D,rK2l8h1EID6ONm0H8ORn,,,,,,;;
Yanis Nueve t'invite pour un foot aujourd'hui à 16:00. Réponds-lui dès que possible,3P3po2oV3jTkJCqCKei23JTTYZC3,game_invitation,2024-07-27T08:27:27.829Z,published,https://firebasestorage.googleapis.com/v0/b/krank-club.appspot.com/o/users%2F3P3po2oV3jTkJCqCKei23JTTYZC3%2Fuploads%2F1703788226955382.jpg?alt=media&token=fb7379bb-f86f-44a6-86ea-35ccc9c3215d,Invitation en attente ⚠️,https://poteau.app/game/8lzwyfsmIcTGANAFKB2D,RPwfyrL30dS1yvyJwGrn0z2HgSa2,,LB9GU8R*IVt6T0jsRjj[0#jZnhR*,8lzwyfsmIcTGANAFKB2D,U7lUDaeEOECZmBMyCuT5,,,,,,;;
Yanis Nueve t'invite pour un foot aujourd'hui à 16:00. Réponds-lui dès que possible,3P3po2oV3jTkJCqCKei23JTTYZC3,game_invitation,2024-07-27T08:27:29.318Z,published,https://firebasestorage.googleapis.com/v0/b/krank-club.appspot.com/o/users%2F3P3po2oV3jTkJCqCKei23JTTYZC3%2Fuploads%2F1703788226955382.jpg?alt=media&token=fb7379bb-f86f-44a6-86ea-35ccc9c3215d,Invitation en attente ⚠️,https://poteau.app/game/8lzwyfsmIcTGANAFKB2D,yWJafPE2UJcuwWdl2PXJm3iIFFx1,,LB9GU8R*IVt6T0jsRjj[0#jZnhR*,8lzwyfsmIcTGANAFKB2D,SahIdkPvOcxSmK8r3iK3,,,,,,;;
Yanis Nueve t'invite pour un foot aujourd'hui à 16:00. Réponds-lui dès que possible,3P3po2oV3jTkJCqCKei23JTTYZC3,game_invitation,2024-07-27T08:27:29.735Z,published,https://firebasestorage.googleapis.com/v0/b/krank-club.appspot.com/o/users%2F3P3po2oV3jTkJCqCKei23JTTYZC3%2Fuploads%2F1703788226955382.jpg?alt=media&token=fb7379bb-f86f-44a6-86ea-35ccc9c3215d,Invitation en attente ⚠️,https://poteau.app/game/8lzwyfsmIcTGANAFKB2D,DwUR2I0rdfa40m10L51LPgZlAAi1,,LB9GU8R*IVt6T0jsRjj[0#jZnhR*,8lzwyfsmIcTGANAFKB2D,01vlBv4uMJpxia5D83l2,,,,,,;;
Yanis Nueve t'invite pour un foot aujourd'hui à 16:00. Réponds-lui dès que possible,3P3po2oV3jTkJCqCKei23JTTYZC3,game_invitation,2024-07-27T08:27:31.047Z,published,https://firebasestorage.googleapis.com/v0/b/krank-club.appspot.com/o/users%2F3P3po2oV3jTkJCqCKei23JTTYZC3%2Fuploads%2F1703788226955382.jpg?alt=media&token=fb7379bb-f86f-44a6-86ea-35ccc9c3215d,Invitation en attente ⚠️,https://poteau.app/game/8lzwyfsmIcTGANAFKB2D,EKZkQB0653SBs1rrjNm9LgGMEY63,,LB9GU8R*IVt6T0jsRjj[0#jZnhR*,8lzwyfsmIcTGANAFKB2D,dGIsTYu9JenYTiG0RMRf,,,,,,;;
Yanis Nueve t'invite pour un foot aujourd'hui à 16:00. Réponds-lui dès que possible,3P3po2oV3jTkJCqCKei23JTTYZC3,game_invitation,2024-07-27T08:27:34.336Z,published,https://firebasestorage.googleapis.com/v0/b/krank-club.appspot.com/o/users%2F3P3po2oV3jTkJCqCKei23JTTYZC3%2Fuploads%2F1703788226955382.jpg?alt=media&token=fb7379bb-f86f-44a6-86ea-35ccc9c3215d,Invitation en attente ⚠️,https://poteau.app/game/8lzwyfsmIcTGANAFKB2D,qlJX11J3vtSmuM5u9LrbSffEjz72,,LB9GU8R*IVt6T0jsRjj[0#jZnhR*,8lzwyfsmIcTGANAFKB2D,QWBOB7zoUP3m2jk6WjGu,,,,,,;;
Yanis Nueve t'invite pour un foot aujourd'hui à 16:00. Réponds-lui dès que possible,3P3po2oV3jTkJCqCKei23JTTYZC3,game_invitation,2024-07-27T08:27:34.793Z,published,https://firebasestorage.googleapis.com/v0/b/krank-club.appspot.com/o/users%2F3P3po2oV3jTkJCqCKei23JTTYZC3%2Fuploads%2F1703788226955382.jpg?alt=media&token=fb7379bb-f86f-44a6-86ea-35ccc9c3215d,Invitation en attente ⚠️,https://poteau.app/game/8lzwyfsmIcTGANAFKB2D,lKLMThLPjqelngNzLYLqbPpFrMy1,,LB9GU8R*IVt6T0jsRjj[0#jZnhR*,8lzwyfsmIcTGANAFKB2D,XB5WRIuE7IgGV1qGNv48,,,,,,;;
"Bernard Carvalho a quitté le match. On continue de chercher les 4 joueurs manquants.,8PBBbAuFVUbiJeNfSqpZ4ihm6rZ2,gamesheet,2024-07-27T08:28:16.460Z,published,https://firebasestorage.googleapis.com/v0/b/krank-club.appspot.com/o/users%2F8PBBbAuFVUbiJeNfSqpZ4ihm6rZ2%2Fuploads%2F1721475843748077.jpg?alt=media&token=35e096ac-6d74-4346-aad9-5c162c0856d8,Un joueur se retire 👋,https://poteau.app/game/gLce7Ndt2CV54XjXga69,""dwzdMo3vIjdzZ0yWt8AHMYhAQ2K3, DU7T4dGw0BQ6W2jgf1TbhfgeB703"",,LOHLFqt90";jI~WxuRqWC4^xtxVW.,gLce7Ndt2CV54XjXga69,,,,,,,;
