DOC_ID,MESSAGE,DATE
07w7q65MfTJyajHG9WZT,Asec Mimosas,2023-09-09T06:52:48.345Z
0B4dgOFmcUyKM4NDdr7n,Algérie ,2023-10-27T15:39:12.303Z
0QZqJrFdzYUYu6s4yduH,Raja,2023-08-26T16:17:57.523Z
0uTDc3PkrJ6iocz4UFrs,Eibar,2023-09-12T07:26:05.314Z
12iRjwikjRQPnTpiZHto,Casablanca ,2023-11-17T14:02:54.660Z
1JrMeYl5is55mN5gtmNy,Fluminense Football Club,2023-09-24T07:05:12.811Z
1mo4MYFUUNqrIrj9uRfv,Leeds ,2023-09-18T10:20:12.265Z
1sOVIw2MF8iKC3wOuvSE,Étoile sportive de sahel,2023-11-10T17:53:42.240Z
28w8W0U7cM2DG4TSVDIq,Paris football club,2023-11-20T16:49:25.901Z
2NSyk3DKGyH4OT1aZmFH,Raja athlétique club ,2023-09-01T21:35:34.998Z
2RDpptFWejNhKWeOeyHo,Raja Casablanca ,2023-11-06T23:39:46.050Z
2bHobcscERxjsi0VAQvr,Mouloudia club d’Alger ,2023-10-22T17:14:38.452Z
31prZtpYMhlrXH7i4LSp,FUS Rabat,2023-10-23T19:46:17.348Z
3KVHCvmpLHdTLNm1bpBr,AL Nasser,2024-01-02T19:50:27.650Z
3QKb81N12XnwNk1pR3bx,Raja club athletic,2023-10-12T10:32:34.834Z
3S8oRVepO3A49WnnqIZL,wydad casablanca,2023-09-19T16:40:46.444Z
4AENLAoy3NT3GLnUp6Xo,Wydad,2023-12-28T23:49:26.627Z
4QxNwRspiQvNmprzK201,Real Madrid,2023-10-21T15:41:32.630Z
4iBGlWV6rrolfN5mynOW,Maroc,2023-09-19T15:43:46.844Z
5Lw5xqi41WJeJjr5wRko,Wydad Casablanca ,2023-09-19T12:57:07.235Z
5OUqxwhD3TcCqdkpxSld,Union de Douala,2023-09-01T23:24:37.700Z
5pUENuLYa2LN1zOYZ1v0,Raja,2023-09-20T18:45:58.705Z
6KcdE5RkFbhUDS2NSjv4,Wydad,2023-09-19T13:56:41.966Z
6d0e2ihflSYc7qkplVhm,,2024-01-24T00:24:36.211Z
6lonKI6qzZGh2vmx3thn,Raja Casablanca ,2023-09-06T14:54:31.870Z
7EiyGfSvlq0SNCOf5UWg,Chabab rif elhoucaimi,2023-10-16T18:59:04.955Z
7hPgeoXc2MPkQskLzsrA,Club africain,2024-01-18T18:06:24.154Z
7yFREDt4k1ouBBmeLxpM,N.R.B.T,2023-10-05T16:27:44.486Z
7zUy7NXFKEHlraWkoD49,Jsk,2023-09-06T18:05:53.778Z
85K1pSbtiIxAFsmQ4Wzp,esperence sportive de tunis,2023-10-17T14:06:21.726Z
8cGo41xBFNIqZIMxl5X5,Al Nassr,2023-12-04T20:15:10.677Z
8hQx9EIUdQvpfv21ODXs,Raja athletic club,2023-09-06T11:38:49.821Z
90KRIbtJyyeJkPoUGuI4,Royal Football Club Liegeois,2023-11-06T09:18:41.626Z
9Il7Vdk35mMKuvS25oB1,RAJA CLUB ATHLETIC,2023-10-02T10:10:06.789Z
9St4H730JtmMTcDd22Gl,Stade toulousain,2023-09-26T17:16:21.968Z
9XaXZPXOdP4pMwv9YQfG,CRB,2024-01-20T09:31:02.620Z
9Y0sVnYtTpN0BfGFEbGq,MOBéjaia,2024-01-14T14:35:38.852Z
9oXVxmYyHLDM9DjjZdtx,WAC,2024-01-08T17:46:48.587Z
9pPmpyUTlLDDu9Da0dLV,Canon sport,2023-09-13T14:21:52.519Z
9ul66RqdC3Eoyl0gSBqp,Réal Madrid,2023-09-19T09:14:00.813Z
9uwJsrOSel5KjWjIhmA6,Paris FC ,2023-10-05T15:23:23.537Z
A46nUfh7ivoVAfI0BMdO,Raja club athletic,2023-11-19T08:40:47.203Z
A8J9Pkm2jlsTq1xx80gU,Raja Club Athletic ,2023-10-13T20:24:32.863Z
AeDYhFgzSmyrjleZO2iX,Espérance de Tunis,2023-09-26T19:15:10.214Z
Aip9KYd7bzMbWDEsaBiX,Raja ,2024-01-05T12:08:06.512Z
B2hCIXTDF3cCOjVpd8Vj,WAC Casablanca ,2023-09-15T17:38:00.874Z
BFJK3pvxa57VNiRLTEYv,Club africain ,2023-10-27T19:35:54.438Z
BHYHcTn12Mw1LeVePDeo,Al nassr,2023-10-16T20:37:07.160Z
BM8OLBzRHXuVrnj0NnP2,JS Kabylie,2023-08-27T13:17:22.021Z
BV6OCo09NaH2ZTFsM0lF,Akhmat grozny ,2024-01-21T22:59:21.284Z
BWph0vf74j0xjPPCvHVy,Fluminense,2023-08-19T12:27:25.584Z
BecFpX1ReUmMwUBbSu5l,Basel ,2023-09-19T05:18:54.646Z
BuYWyD0UL2LGiwNRkZ21,Kawkab athlétique club de Marrakech ,2023-10-02T09:10:46.973Z
C1kPBKpJySS6pSxv2RA3,AS FAR Rabat,2023-09-21T16:20:33.648Z
C5HJyZvoaZYtsWyOkuXx,RAJA ATHLETIC CLUB CASABLANCA,2023-12-24T08:06:55.038Z
CKqtn9zlmCl4lT0BYm44,RS Berkane ,2023-12-30T18:03:26.556Z
CRYOrWsGEmhdLEKGoo7T,Maghreb atletic fes,2023-10-23T18:15:33.735Z
CUH6nEmntrU05CRqhIyb,Wydad Athletic Club,2024-01-20T19:53:08.547Z
CeCiFHztagYtZjVzjwLF,France,2023-10-29T18:27:13.102Z
Cky7lpRtKv6odb8BsyPR,Deportivo Palestino,2023-11-04T09:33:56.888Z
D2NNDT0pKUowhYCnALIO,Apollon limassol,2023-10-05T11:29:43.832Z
D9jHINGGGVW2Rq8yXe0L,Espérance sportive de Tunis ,2023-10-06T14:47:08.380Z
DWO6QP3tY2N6a9JUlqQ2,FLAMENGO ,2023-10-23T06:50:15.042Z
Dcj3Bz3uJjQKshZMkJo4,Raja Athletic club ,2023-10-11T12:55:30.749Z
DhifEh7lguATzl4R69Ft,😁,2023-12-20T07:44:20.574Z
Dp2Zdfxdyt39bn0b6QoF,Brésil ,2023-08-17T19:27:43.024Z
Dt3CwxFW205nQ7H1B6gC,Raja Casablanca ,2023-11-25T17:00:14.894Z
DxkJ5xqPKSee3kFaMx7g,Lille,2023-09-02T14:31:00.427Z
E7mN6BzDkKMUFpA4Q6H0,Al itihad,2023-12-10T11:47:15.284Z
EAkWCYxtAzltcMZaJaMA,Atletico Nacional de Medellín ,2024-01-24T00:23:03.625Z
EUO7oNrH7eA0VOhRgxCn,phnom penh crown,2023-10-19T12:30:38.822Z
EcF2WUItP8hJNoTue4w4,Hajduk Split ,2023-12-15T06:12:01.404Z
EvisXJ2t1hve4TKdN2Y5,Sénégal ,2023-11-23T15:11:55.092Z
Evxg0nr04XrZfqbd9cia,Wydad Casablanca,2023-12-02T19:36:36.997Z
ExczBeBXSI4krXAKcNCy,Fc Seoul,2024-01-05T22:06:26.997Z
FeUz2cI69K92bxt5Fn7J,Al Ahly ,2023-12-19T13:44:07.971Z
FwCqTCOeC4iMfoT1J3w7,Steaua Bucarest ,2024-01-07T06:37:26.741Z
GA9ZLw8Uen6o3HKvhJTp,OL,2023-09-17T14:16:52.563Z
GTkJME4bXML9MoUUlqZC,PARIS FC !!,2023-12-16T09:15:56.257Z
GbhBgmNkuGRpbIdA8MvH,Raja,2023-12-11T01:14:13.635Z
GntHeOlrTkjbrtdWsKVT,Raja,2023-10-11T23:03:47.989Z
GqniZDWVrMq4wCIIxFtO,Paris FC ,2023-09-30T14:06:44.770Z
H8zhI49Rp0EGqEh8HwJ2,Italie,2023-12-21T04:06:51.379Z
H9ZLEpYGpKLvJHgouF2A,Partizan,2023-09-14T08:34:40.493Z
HIjVqP1DyG8zufoMLcZW,Raja club ,2024-01-03T16:47:32.853Z
HmymUHKvRstQt8DSxyXG,Partizan,2023-10-04T21:50:37.627Z
HuXxyhzf1e0WwScrWieS,cd palestino,2024-01-01T18:16:58.403Z
Hwtspl7B9qSL54yL4kCj,JSK,2024-01-09T00:48:51.900Z
I69yxneaUADVqCi0W7jm,Partizan belgrade,2023-09-14T11:20:51.324Z
IChk9EHV69qrU3K2uqfP,Al nassr ,2023-11-25T13:41:05.428Z
IJLWm6FFRMMycnBzJzd9,Moghreb Atletico Tetouan,2024-01-19T21:29:18.192Z
IVV9dAuPjP8XYeDl4yNY,FC CONDE MACOU,2024-01-03T05:09:03.479Z
If9Zvm2ox05nvPBYVcDu,Sfax,2023-10-04T16:14:20.589Z
Iqs9lDS5IbwcG5F6wbkW,A.D Fafe,2024-01-25T21:28:18.751Z
J1eqNtdcS706DKqUCzQJ,Usld,2023-09-26T14:18:12.057Z
J4F8GRV8mqNcFZ7ya8BI,Grenoble Foot 38 ,2023-11-06T17:51:21.220Z
JBhgTVgO6eTH1XA9GYwj,Paris FC ,2024-01-03T00:03:56.589Z
JcbST9utLr1BsBsscHEn,Germany ,2023-11-28T03:58:22.662Z
JeP46tyZcqpZ0sR2cnbI,Raja Club Athlétique ,2024-01-30T03:18:37.441Z
JtF7iRvK6G04w8sBARSK,Wydad athlétique club,2023-09-19T01:15:57.660Z
JyzTRyS3yHFIe8PPdND1,Berkane,2023-12-27T03:30:18.415Z
K5ilbV4aVfD61XLkUfD2,River,2023-11-29T13:26:38.641Z
K96H8QXddQHkpZUXrsUC,Nancy,2023-09-27T15:26:40.832Z
KGEzSdgHWpqWpghGSb8w,Raja,2023-11-25T20:01:34.378Z
KNhbvHyGo3V8KI5THwBX,A S Aixoise ,2023-09-10T20:56:21.345Z
KPEMcy3Fvw5uqWnQO3Iw,,2023-11-09T15:30:05.726Z
KkmxE5KLjeYMAeKWupbP,Raja club athletic,2024-01-05T17:21:23.827Z
LdHr2fxfBdxP5oj3q1YJ,Rsb berkane,2023-09-22T16:11:15.836Z
LflVPgyFnSDnvRHHObG3,Bresil,2023-09-25T13:21:39.631Z
Lmui95UYYsWq6kUZ9ouA,Us Créteil ,2023-10-08T15:58:13.616Z
MFhrjyYN7dE23WnKfLg8,Espérance Sportive de Tunis,2023-11-10T20:57:12.940Z
NRH1qjszlRLBD4E3T48r,Raja,2023-09-13T09:57:40.136Z
NUO93wVjrst7k1YsePCF,Etoile rouge belgrade,2024-01-04T22:42:11.142Z
NjMOGm7gSEgmEicxl01E,Wydad casablanca,2023-10-29T13:35:41.309Z
OFdV94LiKf2NRm4Tmc5b,As lieusaint ,2023-11-11T10:28:35.641Z
OK34PKSfNvYYjNY7ZjQd,Zamalek,2023-09-11T14:33:50.924Z
OOhC6N4SP6CGeiTdIhIy,Fluminense (Brésil),2023-09-22T16:48:53.623Z
OZ7AOFRH6FG5FXIzUF4E,FC Mumbai ,2023-09-18T16:05:13.594Z
P0D2fmtc2zmY17Lfmzp3,Club africain ,2024-01-08T01:42:19.241Z
