 Age ;Users;;;;;;
 11 ;1;;;Entre;et;;
 12 ;1;;;18;20;326;2%
 13 ;4;;;20;25;3359;18%
 14 ;4;;;25;30;5508;30%
 15 ;8;;;30;35;4772;26%
 16 ;21;;;35;40;2668;15%
 17 ;58;;;40;45;1083;6%
 18 ;96;;;45;50;345;2%
 19 ;230;;;50;55;96;1%
 20 ;434;;;55;60;4;0%
 21 ;515;;;;;;
 22 ;658;;;;;;
 23 ;813;;;;;;
 24 ;939;;;;;;
 25 ;1097;;;;;;
 26 ;1058;;;Entre;et;;
 27 ;1199;;;18;25;3685;20%
 28 ;1028;;;25;35;10280;57%
 29 ;1126;;;35;50;4096;23%
 30 ;1077;;;50;60;100;1%
 31 ;995;;;;;;
 32 ;958;;;;;;
 33 ;892;;;;;;
 34 ;850;;;;;;
 35 ;746;;;Entre;et;;
 36 ;615;;;18;23;1933;11%
 37 ;540;;;23;28;5106;28%
 38 ;429;;;28;33;5184;29%
 39 ;338;;;33;38;3643;20%
 40 ;301;;;38;60;2295;13%
 41 ;269;;;;;;
 42 ;192;;;;;;
 43 ;183;;;Entre;et;;
 44 ;138;;;18;24;2746;15%
 45 ;104;;;24;30;6447;35%
 46 ;73;;;30;36;5518;30%
 47 ;76;;;36;42;2492;14%
 48 ;55;;;42;48;766;4%
 49 ;37;;;48;60;192;1%
 50 ;33;;;;;;
 51 ;23;;;;;;
 52 ;18;;;Entre;et;;
 53 ;14;;;18;22;1275;7%
 54 ;8;;;22;26;3507;19%
 55 ;4;;;26;30;4411;24%
;;;;30;34;3922;22%
;;;;34;38;2751;15%
;;;;38;60;2295;13%
