DOC_ID,CENTRE,STATUS,PLACE_ID,LOCATION,DATE
00D0EPKylfi3bz0wt7ZI,Game 13 foot indoor,canceled,ChIJNSDvlsXryRIRUXao9hwB79I,43.41258939999999&5.366617,2023-10-16T18:30:00.000Z
00HTbiPPxn91ynn7qR1L,UrbanSoccer - Porte d'Aubervilliers,played,ChIJ0dXjDCZs5kcRvX0EpMwxsUY,48.9074912&2.3746518,2024-01-07T10:00:00.000Z
00KQmUOvGxj4u2l7AKnP,UrbanSoccer - Lille Lezennes,canceled,,50.6169533&3.0995426,2023-09-05T20:00:00.000Z
00LrLdN1UmDSaFH0PwoM,We Are Sports,canceled,ChIJFZU5oBHC9EcRJTFrSkI1xxg,45.7113247&4.8761886,2023-10-29T09:00:00.000Z
00NjDYA0rVMKo7x0Z4iR,Footbox,published,ChIJY-WkusIR5kcR-tEad3UtaSQ,48.9022789&2.582647,2024-01-07T17:00:00.000Z
00eHWDuZqESMgqL1WRhK,UrbanSoccer La Défense,draft,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2023-12-27T17:45:00.000Z
00pEnMODhbHxhdN9bcOs,Stadium Thiais,played,,48.7511024&2.3713455,2023-10-31T16:30:00.000Z
00pmhG4IkKds1ZDVdsso,Foot POWER 5,canceled,,48.960066&2.2061913,2024-02-06T17:00:00.000Z
00zKqorbhZeaIg0UDJDF,Le 13 - Foot en salle - Marseille,canceled,ChIJR62kUm_ByRIRDnGQqGCeUVQ,43.33370070000001&5.370389599999999,2024-01-23T22:15:00.000Z
01DNdi3KlujTX6skrg3g,Game 13 foot indoor,played,ChIJNSDvlsXryRIRUXao9hwB79I,43.41258939999999&5.366617,2024-01-23T20:30:00.000Z
01JxNMzkCrf2HKGsi0nV,LE FIVE Carrières-sous-Poissy,played,,48.9468144&2.0230574,2023-09-08T20:00:00.000Z
01QB6kfRmLf35vYRDrOE,Stade de foot Pompadour,published,ChIJZWcRAWN15kcR0aRSqeWgmaI,48.773015&2.432866,2024-01-06T11:00:00.000Z
01ZbJa9fM9COMXnLynCM,LE FIVE Paris 18,played,ChIJpVT4_n1u5kcRzji6FdTBXXo,48.8978522&2.3700234,2024-01-10T17:30:00.000Z
01aiIXTWgJgnxa4xFnIt,LE FIVE Paris 17,played,,48.900032&2.3213449,2023-09-02T15:00:00.000Z
01fMyFWQrEhSbW2upztG,Stadium Thiais,draft,ChIJ64X9jzx05kcRsHvSfOv6UcA,48.7511024&2.3713455,2023-12-02T16:00:00.000Z
029oObNC5LKinw1cS1l2,UrbanSoccer - Marne-La-Vallée,draft,ChIJ6bDBiosP5kcROXiloHzSdhc,48.82658600000001&2.6296937,
02P4Ad46JMOKQr3nHXVI,LE FIVE Montreuil,published,,48.8613036&2.4653095,2024-02-27T09:00:00.000Z
02VDY3BeIYvvYul4Tl3O,UrbanSoccer - Puteaux,played,ChIJM_sC0-Nk5kcRhL1y_EFIje8,48.8836397&2.2312283,2023-11-04T12:30:00.000Z
02VdYJG2vTOPskH6b3Ap,LE FIVE Marville - La Courneuve,published,,48.9361223&2.3872592,2023-10-03T12:00:00.000Z
02WXbhGT2w7FtZZbdOEJ,UrbanSoccer - Puteaux,canceled,,48.8836397&2.2312283,2023-09-22T18:00:00.000Z
02h87XMAB9N8Lny6HT0I,UrbanSoccer - Puteaux,canceled,ChIJM_sC0-Nk5kcRhL1y_EFIje8,48.8836397&2.2312283,2023-10-20T17:15:00.000Z
02lQ08jQ1qczkosCpNjh,UrbanSoccer - Porte d'Aubervilliers,played,,48.9074912&2.3746518,2023-09-10T15:30:00.000Z
02oe8khjbfJUb1QNXSTN,UrbanSoccer Orsay,canceled,ChIJpZIJg7J45kcRrKWKhtbfnEQ,48.70829&2.17794,2023-12-16T10:00:00.000Z
02u5zUYR9AcOED2YnEYT,Créteil Pompadour,published,ChIJX79lm6d05kcRdvnIvrrCKDc,48.771485&2.4353447,2024-01-21T12:00:00.000Z
03Alcz66wSkAUuELRV7P,STADE PIERRE BOURDAN,played,ChIJlzXk7HLr9EcR8P0J9oTn_Pk,45.79243109999999&4.840371699999999,2023-10-01T08:00:00.000Z
03DtLtqnJ2ZNo2pk6TTK,UrbanSoccer La Défense,played,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2023-11-19T18:00:00.000Z
03QkqZQKOCy1BQmtdDwH,Stadium Thiais,played,,48.7511024&2.3713455,2023-09-05T17:30:00.000Z
03RR9bdwDPRyQ33rcYFw,UrbanSoccer - Quai d'Ivry,played,ChIJfXxYJ0xy5kcRw9xTkF6-FZQ,48.8199815&2.3936307,2023-11-19T19:15:00.000Z
