DOC_ID,CENTRE,STATUS,TYPE,PLACE_ID,LOCATION,DATE,DURATION,PRICE,VISIBILITY,GOLD_EXCLUSIVE,MOOD,LEVEL,ORGANIZER,ATTENDEES,MAX_PLAYERS,GOOD_PLAYERS,LATE_PLAYERS,NO_SHOW_PLAYERS,RUDE_PLAYERS,INTERESTED
00DGQXeWqAz0UDraRIyX,UrbanSoccer - Lyon Barolles,canceled,captain,ChIJN4l-IC3v9EcRf9QJKIVC_aY,45.6837539&4.7725939,2024-01-31T17:30:00.000Z,60,9.5,public,true,Détente,3,QZkoFqXhHCYRkY6JIU2zhWVTjrf2,9,10,0,0,0,0,0
00LwjmzZM54oiCeZpqUz,LE PARK Complexe Multisports,canceled,captain,ChIJdUHbID8O5kcRV5lQhiHTvhs,48.8337843&2.5728501,2024-02-03T09:15:00.000Z,90,10.5,public,false,Détente,2,9dfxOVkH5hUeQBphmBdnpqnF6JD3,10,10,0,0,0,0,0
00pmhG4IkKds1ZDVdsso,Foot POWER 5,canceled,pro,,48.960066&2.2061913,2024-02-06T17:00:00.000Z,90,5,public,false,,,sss3dYi6nzWd7rEjwcQ30LGKudj1,0,10,0,0,0,0,0
00zKqorbhZeaIg0UDJDF,Le 13 - Foot en salle - Marseille,canceled,captain,ChIJR62kUm_ByRIRDnGQqGCeUVQ,43.33370070000001&5.370389599999999,2024-01-23T22:15:00.000Z,60,10,public,false,Détente,3,tYE0hxio2uYHYCahKUN7QqZwcbi1,4,10,0,0,0,0,0
01DNdi3KlujTX6skrg3g,Game 13 foot indoor,played,captain,ChIJNSDvlsXryRIRUXao9hwB79I,43.41258939999999&5.366617,2024-01-23T20:30:00.000Z,60,10,public,false,Détente,3,tNI5PAPgX0MDq6T4GlwP3d2ndaO2,10,10,2,0,0,0,0
01jD9vZcBDyWmvyuUi4d,Complexe sportif de l'île des Vannes,published,captain,ChIJTZWfSNNv5kcRmHP3Tz0AJ6A,48.9188419&2.3245603,2024-02-11T15:45:00.000Z,120,,public,false,Détente,4,Csrh8EMzKaZCCcCZeEhs2tGGZRr1,15,16,0,0,0,0,0
02P4Ad46JMOKQr3nHXVI,LE FIVE Montreuil,published,pro,,48.8613036&2.4653095,2024-02-27T09:00:00.000Z,60,7,public,false,,,u9uC1vjdcdQ3UqNxI0SiFxor0m43,0,10,0,0,0,0,0
02VnHmYYH6sbXXDTODQa,Stadium Thiais,hidden,pro,ChIJ64X9jzx05kcRsHvSfOv6UcA,48.7511024&2.3713455,2024-02-09T19:30:00.000Z,90,15,public,false,,,psf3NmXEPwdCltHKJC7VuvJocrF3,0,12,0,0,0,0,1
02u5zUYR9AcOED2YnEYT,Créteil Pompadour,published,captain,ChIJX79lm6d05kcRdvnIvrrCKDc,48.771485&2.4353447,2024-01-21T12:00:00.000Z,120,,public,false,Compétition,4,UnJDV5vrN8dg5S8guOpS4eXU5Dz1,14,18,0,0,0,0,4
03U0BusYBA2ehxFNqCat,LE FIVE Créteil,published,pro,,48.7643086&2.4706522,2024-03-04T16:00:00.000Z,60,7,public,false,,,ZmXMWx7aTdPoPkkGOWa2HIQVblq2,0,10,0,0,0,0,0
03jCUUDgnvIJmGI1aTpZ,Stade René Rousseau,canceled,captain,ChIJW8VHHR5x5kcRd0HZj0ue2J0,48.8004766&2.3162301,2024-02-03T18:30:00.000Z,60,,public,false,Compétition,3,NRgkwdg1YybP9ZmtB5S7CHLR0rt1,2,10,0,0,0,0,0
04gJdGYyVUukYA8MRdXI,Stadium Thiais,played,captain,ChIJ64X9jzx05kcRsHvSfOv6UcA,48.7511024&2.3713455,2024-01-24T18:00:00.000Z,90,15,public,false,,3,IycOnfrCOrSOce6EChYC26uwqG42,10,10,6,0,0,0,4
08Zp0qD4ZAdUqoFvMtdn,Stade Élisabeth,played,captain,ChIJkXj9tq5x5kcROlxynHzTh9o,48.8207737&2.3270972,2024-01-31T19:45:00.000Z,60,2,public,false,Détente,1,8i5faoQkJ4YSkhRB5skPBLiEh1G3,14,14,4,0,0,0,6
09ALDJSxcbHbF4k5EW4K,LE FIVE Montreuil,published,pro,,48.8613036&2.4653095,2024-02-23T16:30:00.000Z,90,11.5,public,false,,,u9uC1vjdcdQ3UqNxI0SiFxor0m43,0,10,0,0,0,0,0
09FVWQ33bZwuLRgheAiW,Stadium Thiais,played,pro,ChIJ64X9jzx05kcRsHvSfOv6UcA,48.7511024&2.3713455,2024-01-31T21:00:00.000Z,90,14,public,false,,,psf3NmXEPwdCltHKJC7VuvJocrF3,10,10,4,0,0,1,1
09V0R71ORsL8qPofpz2m,LE FIVE Montreuil,published,pro,,48.8613036&2.4653095,2024-01-20T15:00:00.000Z,60,10,public,false,,,u9uC1vjdcdQ3UqNxI0SiFxor0m43,0,10,0,0,0,0,1
0D3OpfQxhXyxYUJXdCyr,Footbox,published,pro,,48.9022789&2.582647,2024-03-02T19:00:00.000Z,60,10,public,false,,,QI89VPazyLhBVnWH871jk4BUEZI3,0,10,0,0,0,0,0
0D4QMJIcTzh4LxFQkSL6,Le 13 - Foot en salle - Marseille,played,captain,ChIJR62kUm_ByRIRDnGQqGCeUVQ,43.33370070000001&5.370389599999999,2024-01-26T18:30:00.000Z,60,10,public,false,Compétition,,lN4Dq9utmOhbstMTtKsNYyKoNdP2,10,10,2,0,0,0,0
0DEKlSnSJDyZIOCcXTiQ,Halle Georges Carpentier,published,captain,ChIJnXkSwCty5kcR-nlHXNFQlg4,48.82020139999999&2.3672361,2024-02-12T14:30:00.000Z,120,,public,false,Détente,,FYfgfT1shkXXyaMI4sZTA7d9Qdw2,4,12,0,0,0,0,2
0FEQfPCLdRNmCoOBLOD5,La Plaine des Sports - Université Paris-Saclay,canceled,captain,ChIJv4ZkWb5_5kcRkQ23aJHNq24,48.71200899999999&2.1560772,2024-02-11T14:00:00.000Z,90,,public,false,Détente,3,s1eo4MV4gLdD17mf1RxuRaEJ7612,16,16,0,0,0,0,0
0Gng63Jo4lWk79qXzxak,Complexe sportif Arrighi - Stade - Gymnase - Tennis,published,captain,ChIJdY7UfIRz5kcRyDIR404fW5A,48.7830911&2.3989573,2024-02-15T19:00:00.000Z,120,,private,false,Détente,4,5v9WX6HkohWW6s4r8BR39p1iJxu1,16,16,0,0,0,0,2
0H9cmZrw3CHBvVPLUGKu,Stadium Thiais,published,pro,,48.7511024&2.3713455,2024-01-23T14:00:00.000Z,90,8,public,false,,,psf3NmXEPwdCltHKJC7VuvJocrF3,0,10,0,0,0,0,0
0HYYaFddLdK15GZBWWPs,Parc Sainte Barbe,played,captain,ChIJtw301r5w5kcRvRjidiuAyaw,48.7922897&2.2913469,2024-02-01T12:00:00.000Z,120,,public,false,Détente,4,rzC8A0bd4afb9AWrHKlCPT9461y1,16,16,12,0,0,12,2
