DOC_ID,CENTRE,STATUS,TYPE,PLACE_ID,LOCATION,DATE,DURATION,PRICE,PRICE_UNDISCOUNTED,VISIBILITY,GOLD_EXCLUSIVE,MOOD,LEVEL,ORGANIZER,ATTENDEES,MAX_PLAYERS,GOOD_PLAYERS,LATE_PLAYERS,NO_SHOW_PLAYERS,RUDE_PLAYERS,INTERESTED,PAYMENT_TYPE
2z1sv582ukrTs2CXEtZF,Foot paris,published,captain,,48.8904693&2.3731397,2023-08-04T10:30:00.000Z,120,,,public,false,Compétition,5,6g66Hr0t8ESpVJkqTW80lI9cRdr2,6,10,0,0,0,0,0,on-site
B4EKGAivTkFunEzdUwMa,Stade De Tremblay En France.,published,captain,,48.9574217&2.5723894,2023-08-04T12:00:00.000Z,120,,,public,false,,2,UeDUCixgBBdBKgi34V05UXxEGuI3,1,16,0,0,0,0,0,on-site
GpiaAMYX45bFUlCcNrby,Foot POWER 5,published,captain,,48.960066&2.2061913,2023-08-04T16:00:00.000Z,90,7,,public,false,Compétition,3,WFXVDqzCbLcm1jt893fikbX5zcC3,0,10,0,0,0,0,0,on-site
KgS1LlM6LVciItqEbTKj,UrbanSoccer - Puteaux,draft,captain,,48.8836397&2.2312283,2023-08-04T16:00:00.000Z,60,,,public,false,,,Qwtb9Guag6XyIXNrs37iG3OsqKY2,0,0,0,0,0,0,0,on-site
e4eJltEWGr4ttrBPWgWv,LE FIVE Bezons,canceled,captain,,48.9190419&2.2117725,2023-08-04T16:00:00.000Z,90,12,,public,true,Détente,4,8bUFe1hkmuRyNeJWeJoBbiDUSKG3,1,10,0,0,0,0,0,on-site
J23JWHP2Di86nmL0mz14,LE FIVE Montreuil,draft,captain,,48.8613036&2.4653095,2023-08-04T17:00:00.000Z,60,10,,public,false,Compétition,4,NAv06eKqbOYL5KEyqKw43yy6NN02,0,10,0,0,0,0,0,on-site
WAjrMM2uH04Uiue2wFjh,UrbanSoccer - Toulouse Sept Deniers,published,captain,,43.6321552&1.411696,2023-08-04T17:00:00.000Z,60,9,,public,false,Détente,2,lE0rfGnE8edrKmfeIrlAmvASGYj2,8,10,0,0,0,0,0,on-site
onjSL7UsP72TgJQqaRRB,MONCLUB 2.0,canceled,captain,,43.2895156&5.4611522,2023-08-04T17:00:00.000Z,60,10,,public,false,Compétition,3,Al3ndlO7m1MxPlilfHoKQfYmvd13,4,10,0,0,0,0,0,on-site
ixhJHMpAzgzeAxL2pxvT,Monclub Futbol,published,captain,,43.4299152&5.4001974,2023-08-04T17:30:00.000Z,90,10,,public,false,Détente,2,olzecDJBy7fzk4AwVIm4Qgt0SZg1,0,10,0,0,0,0,0,on-site
eHP6cA6hmC6CgwVqCYhf,GOPARK INTERIEUR - Paintball et trampolines parc,draft,captain,,49.045624&2.0799886,2023-08-05T07:00:00.000Z,90,,,public,false,,,uFlkrDJtnhPUIlLjg3BIw1fgNRs1,0,0,0,0,0,0,0,on-site
