REPEATER_ID,ADDRESS,CENTRE,DURATION,EXPECTED_TIME,FIRST_OCCURRENCE,LOCATION_LATITUDE,LOCATION_LONGITUDE,MAX_PLAYERS,ORGANIZER,PLACE_ID,PRICE,STATUS,TIME,TIME_ZONE,WEEKDAY
0J1keAN3JDLwpNReEQok,"ZI SENIA, 2 Rue du Courson, 94320 Thiais, France",Stadium Thiais,60,12:00,2023-08-29T13:34:28.331Z,48.7511024,2.3713455,10,psf3NmXEPwdCltHKJC7VuvJocrF3,ChIJ64X9jzx05kcRsHvSfOv6UcA,7,published,2023-08-29T10:00:00.000Z,Europe/Paris,1
0SdGd3FqYYQtOdLJ9sUZ,"41-51 Rue Jacquard, 77400 Lagny-sur-Marne, France",Top Ten,90,12:00,2023-11-08T09:40:00.410Z,48.8729106,2.6840919,10,i27253AGxOfXgYJK72sBnvUGuMk2,ChIJfXprBx4b5kcRmhe-5pLZUek,5,published,2023-11-08T11:00:00.000Z,Europe/Paris,5
0fK2JjF5NMdFHWVs9Scx,"ZI SENIA, 2 Rue du Courson, 94320 Thiais, France",Stadium Thiais,90,17:30,2023-08-29T13:40:27.586Z,48.7511024,2.3713455,10,psf3NmXEPwdCltHKJC7VuvJocrF3,ChIJ64X9jzx05kcRsHvSfOv6UcA,10,published,2023-08-29T15:30:00.000Z,Europe/Paris,4
0oulmGt3OaKRTFDdQIUM,"ZI SENIA, 2 Rue du Courson, 94320 Thiais, France",Stadium Thiais,90,22:00,2023-08-29T13:45:21.328Z,48.7511024,2.3713455,10,psf3NmXEPwdCltHKJC7VuvJocrF3,ChIJ64X9jzx05kcRsHvSfOv6UcA,15,published,2023-08-29T20:00:00.000Z,Europe/Paris,6
1Kfru6y25JHPDJ6tC0EL,"187 Rte de Saint-Leu, 93800 Épinay-sur-Seine, France",FOOT IN FIVE - ÉPINAY-SUR-SEINE,90,19:30,2023-09-19T08:19:37.300Z,48.9552257,2.3328346,10,fSh9muNltcVTK0WIVstxyAAnx7V2,ChIJoUR0syFp5kcRUlStnwluaYY,15,canceled,2023-09-19T17:30:00.000Z,Europe/Paris,1
1PJUAdVET6Y4Ve8m6ZhD,"ZI SENIA, 2 Rue du Courson, 94320 Thiais, France",Stadium Thiais,90,16:00,2023-08-29T13:39:19.589Z,48.7511024,2.3713455,10,psf3NmXEPwdCltHKJC7VuvJocrF3,ChIJ64X9jzx05kcRsHvSfOv6UcA,8,published,2023-10-04T14:00:00.000Z,Europe/Paris,5
1WMbfe7mzQ2jAkrHAJVi,"ZI SENIA, 2 Rue du Courson, 94320 Thiais, France",Stadium Thiais,90,19:00,2023-08-29T13:41:48.948Z,48.7511024,2.3713455,10,psf3NmXEPwdCltHKJC7VuvJocrF3,ChIJ64X9jzx05kcRsHvSfOv6UcA,15,published,2023-08-29T17:00:00.000Z,Europe/Paris,2
1cNJOcObpku0WSq7kWGX,"200 Chau. Jules César, 95250 Beauchamp, France",Le Street Foot en Salle,120,15:00,2024-02-11T22:19:33.207Z,49.0164435,2.181307,10,bsRK7e37BkUbETMq0Tg3lbm8Fao2,ChIJt_AXL6Jg5kcRu6rBmnrmeUM,10,published,2024-02-11T14:00:00.000Z,Europe/Paris,1
1gaUwjAHOfFN7Xzh4P57,"44 Av. Vaucanson, 93370 Montfermeil, France",Footbox,60,15:00,2024-02-06T12:06:51.860Z,48.9022789,2.582647,10,QI89VPazyLhBVnWH871jk4BUEZI3,ChIJY-WkusIR5kcR-tEad3UtaSQ,7,published,2024-02-06T14:00:00.000Z,Europe/Paris,3
1yi6RYB0UVxfOfctWSE2,"36 Rue des Pommiers, 95240 Cormeilles-en-Parisis, France",Foot POWER 5,90,18:00,2023-09-12T06:22:03.141Z,48.960066,2.2061913,10,sss3dYi6nzWd7rEjwcQ30LGKudj1,ChIJuTCIFshm5kcRBtEQJ76dAzc,5,canceled,2023-09-12T16:00:00.000Z,Europe/Paris,2
