user_id,role
01QaD6u8HdaOivOIt8hzmvAFgJm1,
05CogcKSCeZx6Ouia9XrZFewoc92,player
07VJ5zcKBAWNhG0BSHoJrubGvEM2,player
08qk2oaG9geVJgYc0MU6W2QIkLn2,player
0AiSnc2Z2PXWC01LD87WTsmGTW72,
0DG3bEGwVAf4sndFFft799pWO4B3,player
0KAfgRK4Wwb8NhE5DXjJMDwg52y1,player
0KMHV9UbVLRppiOz1yFmiJ3teGy2,player
0PRyLXeWjOMFOB1g1sbmOY5t5YD3,
0QIBLiEvx6N2QgJAkhv5xrdQ8Zn2,captain
0atohvqeYoUXiI0hUQf5rRq4QWB2,player
0j7TwABowMSAJT0DnKHjKKFOOn03,player
0px3CnZqtGQl02ypCud1mpjPW9Z2,
0s8rMBZXkKVeZlH8V2oekWaj2pJ3,
0sYfOLD3rUctUwbjcPcn6x7tWVm1,player
17Pno7SQgsg3gG6J1VYYmcOdgmX2,player
1A1NN8RxsCRD3yyNCF9MuFuBQRL2,
1IUnyvXnPIOzypTnrFCFUkws75n2,player
1KGDv4HjKicoIjRD9D8FhI7mzA03,player
1P0MZkQ0z5PwwUW6Z1neqobkG8X2,player
1Y0GTXMiSPOnTNThgMFQnWZM5S02,player
1iyoIQN15XNxHelW2P0zRK6GN5f2,captain
1kwmpLOQe1TdrEJeu7VLVVrP07F2,player
1nk8Jfr73DXn6I19IqhiXhO2NqK2,player
1tTXGCN0ydNWOivKYXpajKugBRN2,player
25ushvQdFpOvW1VdLlAlqgIlDex1,player
2ByGwnqoWGgh30uFyXCb4T6RqM52,captain
2ExLVpYV79X5eebrGA3xjTSBaDH3,
2Q9dXxStX8Wwln43DLu0KUnDKMH2,
2baGezy2KRZBtHBvQyLYExUHF3m2,player
2ct0BbV0Z3RhJ2jZBcHuqrg8ODo2,
2hUHp3US0bhLYLXQJLcM0eFtIZB3,player
2iJCMM1JAETgpQv1fggOCo0fc3a2,
3AYxfIvnHQZxJGHaVsg2xMmbTCw1,
3B4iNSDwkzYRoYd2ZrSuLFfYjws2,player
3HVn1eLBKiTQPLIEjNM6XOdLFxQ2,player
3LsIU2g6TCabSSL8fC8lEgxgNhM2,player
3MiQu2vAMxaS6OU8xb1zZCby7fK2,player
3cQHedsZDef4hhemvbhMzTR42RK2,player
3gcS9h5CCqhZhuvpuVP17nR6kcU2,
3gxvEmPV9BU0Jla5P6MRkb5Yd6r2,
3h6yVjv7voX4nxcu5ry5Wdy5MTH3,
3mbNezxn69cS0cTG7upDeQuVjAM2,
3mvYWS9iJ3bCiG7wXSQICDjg1Ht2,player
3pBEHFeWpweBChTyKbrivismqKO2,
45kixZ5IwxOgrwbUhkExqUY55F93,player
45vhcMk2dNM3vQ23qOghLcuiT9H3,
4G5nPZnahCOJKpOxpTc1yALQJRY2,
4JxNUpPweIb1sRUvaPtXygQJfEb2,
4LpN3lH0JjX1n0dMZeaxUaGj7pn1,player
4Ukvy09fekdBFX1t1zajCReCfiU2,
4fmn93aIyfYYQBuPRvcb83e1O4C2,
4hWvML1L9qfgVMS7Du2t6KJlgNg1,player
4pudP3KHgsZ8hcdEJcomw1fCJNP2,player
56OwcKYLftXQkkV2Pik1geRusDo2,player
5AvBZkoUyobijQkkitJ7ulVJoto2,captain
5BxkyJ0O39SA62weSEki2kTk0S42,player
5RPqMZnrwSd7Ks2HnR0udMP4rNG3,player
5TD5llewYqbVz5H7PJPf7oenrni1,
5f3ItbdD4qfUbbFTy6G7IlfM9Sy1,player
5gEwFJ87LPZB3KNMCTbVAavawfk1,
5lLX9nWPmrPugoGdqQ7AnFLN8Bh2,player
5r2kXHNim6bDxwl9EghmEwr9OKR2,
5tmVXPTyLsPFPmbYorbn57kdZnN2,player
5wl41FHKmTPuiTyNRpXSNWEehqC2,
63DvLC6rLYN87Zxf0uBWHfm12T73,player
63x8jUjm4PQvNqKznF4qh8pyzK22,
6XisKeUQjmcA7HIoAIDcQMZe3sc2,player
6gEaTmMKJjNyE9TkU3IpBop0cE32,player
6h1oq2LMaxOtuUWl8LvFH9apCWh1,player
73RRhV2eXLafxOlSxCiVvIdbAiF3,player
79YJUkviJmhKlTdYB4IS7w4pQJE2,
7D7ivvH9kthjUUf748BqjUC3Nll2,
7EajUnPle4SU0bHF0yAITHWnhzn1,
7Jc4uz6200SqiPyfL4r4BWGycY03,player
7Kneddrn92Rg8oe81JzN9BZq12G3,
7Ow4GKLrHsedh4tpbgOwr6DLQhj1,player
7YAbV8phtsVli543Aqtgd1NFsFA3,
7bb3Qi52nzRl6If47vgWOdsRSBk2,player
7fTynVNSwLS939bGArBj8qOzZ263,player
7ktNEuOdn1OFc53BmkFjDyJpDFu2,
7oPqBXffyFhClORjOjHwaRZ3PgC3,
7ohNux9IXhUMuQZOsgSKcNbkE9t1,
7ztBgNWxHaZ9XzrjZb6WE4ws2D12,player
84yuo2CQksbDhFhU91ZB5WUvRun2,player
86dSYLpCuQdQc7t6ZqyNAuBGnSk2,
87lgwgJE4DOTUKfW3oPJ1HVTOI72,
89I8RvX3twZrqR3o51TS8cEX3Kk2,
89kZ2PTklhSEsLqrSFKy2OXV3px1,player
8LGlGZIz42OsZhwOn0Nln9cjzE62,
8PH2iOX4E8dvE75j25zy7xmyEvm2,player
8hAM9qT9y7ed4T5v5Xcgm6qx1vG2,
8jyBB7tGcjR5jgzefjwJcP4dllZ2,player
8uKF8decfDg4mogKuhCTZyQ2fCf1,player
8wZOd2IWAyNXE4YGbQS8WfqEgBf1,
8yXeZf5B9RW4fSVZtArvg1dIhUV2,
8ysQ96ZfPJhxzmfuynXQo2YfJdg2,player
90IBSHXLdmSvuW7iSbhcbUtRag93,captain
94bKiP5depXOO23vE8BwmPbEHz23,
95ZUVSOSwJRjAxeIflObjcI2yRC2,player
9Km4QcR62PeiHkH9qhXicRkno8z1,
9MH3FUhzfqg083s0dnu1aKfb3053,
9Ok7O9Y02PSZEgM9QGh2DXMHF172,player
9OyYDy2XLSREX0EqswZcZ3Uc9x02,player
9VDs2O7P5ZgLgJi2gFPniAgpGGN2,
9a6gPeh4srZAEHDnYvOl4myUotB2,player
9dRtTsSgldPDr4cDvf82Mma2b7M2,player
9z5XGZd0pWc45V9KxmnA7pbtW0E2,player
A4odyxxJhAcT8lwYhi4JFy4dShG3,captain
AATwLRceeVXTtSPBNZTTlysIFr93,player
AFJEJdeDe9VTEZnNTlaZV2e5IYV2,player
AHbQgo6ukPd7dnxcVY2FC9pQaMD2,player
AMqLhjGUZXVYVcPOFuztoFcADW32,
ASUeTyT60ieJU5G6OR52Yix8tA33,
AVr4EJo7TJYFcZfgBUqyLJVhl443,
AWzR2VZCsUWARCcRKPVZefDFIZ93,player
AvG65YA47MbQxo3vamLOYYQ4VeB2,player
AwM94LB2QLQ1OnuT85lKoWTxCnR2,player
B6hJGB2qJnRbT2UUAaBGWAut3Zw1,player
BCMKhPgejGTnjc17jlXOqWTSPHo1,captain
BGJz0bYJn1Ykzfc1G1jA2d2Jg863,
BS6B3LFm5PgpQB1v9ZxZvXVccNT2,player
BWMnJbN9F7aIFolZaHt1h05Enq93,player
BX3h2VQ2bGQtF3nytgkrWPAVQZS2,player
BXKDgofWJAc2j2bl45jVXjAg3Mj2,
BZZDBsenCjZWs7kyXYgSZBetUoU2,
BlAuI31dzGYQIZKGU5S4OCzLdV03,player
BncFkO39RzR6gOoJKlAR8AC7u4c2,
BoLJN0Faw6dqkpvja4CmrZ3DJzm2,player
Bq6WIDEDQmNvyZ7EVDgyr7tW3pn1,player
Bw2QCYgqCbfwrBizMBKIwE1kS6p2,captain
BxVO4BA4lLd9Sky3LO8IFTWW6A62,
C5IKaORqcrbypLiw2R9qWSsCZX53,
CBD4LRdDbCW2AMlGLiLYwjihIN22,
CLqADBUHMNMajVAedKmo0aiJn4u1,
CSRMwyUf1sgonJX0ooZ6SRm2jgG2,player
CUnklqov0jWe2JziPEm3lL6F14Q2,player
CbUf6eQcg2aWEsEDAkNVHrTVHaX2,player
Cm2cXu5NkdR1j9VM9gsKqjUgKJp1,
Cu9dY3mWZZX0yfFJYggsqFowmky1,player
