"Game Invitation ID","Invitee","Status","Game","Source","Created"
"iiqW4Ibd5vlh1KiojJ3g","xlA4jRGEOAVngusOrQDLvIVrj272","pending","UPSvbf8lzAV9r5Q4wmlt","",""
"RmbWGHt4jv2vF7TmAcCz","MtOMDErAq8TybfviPBhadKKHvgf1","pending","UPSvbf8lzAV9r5Q4wmlt","",""
"LXhz5eExdRMknPQH2ziL","mRRMJUlTPwQdW9i1g4ifE8lLz383","pending","UPSvbf8lzAV9r5Q4wmlt","",""
"Ho2t1jCCxtzIKAGYufi1","oOYTLAkzLrReyMHlrQcU4mJohvz2","pending","UPSvbf8lzAV9r5Q4wmlt","",""
"HiGDNxMGvSOyK6wdHVzw","IRQecRMNyTZq4dUUotcsk1DSkwn1","pending","UPSvbf8lzAV9r5Q4wmlt","",""
"i2dUHkTY4kJ2y7rFHvlz","YdCHokT58ebtazdPBvIlHC7TTwE2","pending","UPSvbf8lzAV9r5Q4wmlt","",""
"D1ktmysiFfzpjownPD7m","iWhGOBaTYKWFrhGjbpZGB6VlNoJ3","pending","UPSvbf8lzAV9r5Q4wmlt","",""
"jRMGFfRdRjaYwAZvepok","XuLvDHq2X5aec6u36MQupBKE0Tr2","pending","UPSvbf8lzAV9r5Q4wmlt","",""
"gOjexlgd8kPb998D9xwn","DNzfxeSgFHZRpe1efA2ONTQgOzN2","pending","UPSvbf8lzAV9r5Q4wmlt","",""
"vSUhJEwMY9oaqAb6mSLF","vJfACjHvjmXqoBziKwpyiG8CU1s1","pending","UPSvbf8lzAV9r5Q4wmlt","",""
"LupuAkQnnmcpydy5fQlJ","QIYkHcIGXSYEHrymzQQRa1fw21C2","pending","UPSvbf8lzAV9r5Q4wmlt","",""
"x1nbq1TFMgliuYRYmaEp","XSsY8NvjjJMvWuVyuWDTlWPKCYQ2","pending","UPSvbf8lzAV9r5Q4wmlt","",""
"isotsHvIsr0FofihuY1N","AhkleKXFPcRoxPvRoMgqknYedmQ2","pending","UPSvbf8lzAV9r5Q4wmlt","",""
"BOwb2zpaT7muWWwOgGgd","J0Pojpu5HAeLxdUaQ1RKTvAAOCj1","pending","UPSvbf8lzAV9r5Q4wmlt","",""
"R0owHV7Y6gR1FgeiThLj","ssX3mxh335gcIdjAeNgG4dRYv4x1","pending","UPSvbf8lzAV9r5Q4wmlt","",""
"a22xSa6TlOUfKHytc3Jn","9na0G7xt9jZQ4mqPKbg2p52Js2J2","pending","UPSvbf8lzAV9r5Q4wmlt","",""
"5iZ9i7hPl6W7HMumxq2B","lSC4drwtFjTuu0PBZfZqys9euRM2","pending","UPSvbf8lzAV9r5Q4wmlt","",""
"1AIMMjLpEHN386HksRyk","DxGY2Azcl8TP7OFyD6CBIgMMYhq1","pending","UPSvbf8lzAV9r5Q4wmlt","alerts",""
"7BONrvgOkKlks3wu0YVZ","saj0YIWpgtUsIDGcMVlOZdqyCXD3","pending","UPSvbf8lzAV9r5Q4wmlt","alerts",""
"ZtIYtUtm1PKyl0pIFYPw","QPh5hvQbcEZwPopegq47CurgFXu1","pending","UPSvbf8lzAV9r5Q4wmlt","alerts",""
"rqNYSY6mwgNRYGJIw7Ba","3xAjv9yBBPYDZcHuFVx8FTqkG0w2","pending","UPSvbf8lzAV9r5Q4wmlt","alerts",""
"xLZSE5qXIL1dhrM8CfQW","YYwqNgv90GPP6NNlREPfbaqzZES2","pending","UPSvbf8lzAV9r5Q4wmlt","alerts",""
"9xDzhkC2NcvqswpUbMl0","9QsP2qqaB5NIDcHPf0Naa37SzWB3","pending","UPSvbf8lzAV9r5Q4wmlt","alerts",""
"kVSZmElPArCYyk1i96Rt","lMYjoORkspZKtA1B2VIIJg3BcLi2","pending","UPSvbf8lzAV9r5Q4wmlt","alerts",""
"v8MxDG1g2X9brTtxRTrC","B9UL5lpXwXZ8Muilro7DSxziDuw2","pending","UPSvbf8lzAV9r5Q4wmlt","alerts",""
"z75G7tqz5VAIhyjP981U","7NDGnMT1htZkeOZZblETy3zl7Si1","pending","UPSvbf8lzAV9r5Q4wmlt","alerts",""
"zwYURRykc9rT3opqOSkY","gPQkkUR4FzMUe4dRTMoovx0dVMz1","pending","UPSvbf8lzAV9r5Q4wmlt","alerts",""
"6xMoLjHbkDqU3tdBVcWv","KZybEJOfVKdp5Sc0aulIa0trzYm2","pending","UPSvbf8lzAV9r5Q4wmlt","alerts",""
"BckzF5j2xNDsFH6azof9","Whk4JHHXc8gJY771j0RWNIFPPJG2","pending","UPSvbf8lzAV9r5Q4wmlt","alerts",""
"BzTn4GICxHGjN8QqJgKx","ys4NA2BL9pNLJfdtmwRIpCW0AFv1","pending","UPSvbf8lzAV9r5Q4wmlt","alerts",""
"PB8SYqqxGoUHqg4HxrvV","Wem1INkShpOOdjdpLXViFvfFH5k2","pending","UPSvbf8lzAV9r5Q4wmlt","alerts",""
"hWpexCeA89Msm4Xa51Ye","qKDS8Yxfqgcvf7rzzYLlmlrFaib2","pending","UPSvbf8lzAV9r5Q4wmlt","alerts",""
"p2OMnLSaKZtpL7DWgAt7","wbs4we2YXFVv572THLv9DpYXvbj2","pending","UPSvbf8lzAV9r5Q4wmlt","alerts",""
"vkK1COHeV0UoGKlDkzkl","MLz5ltKoTOQ6t2pPZEOrfoguINF2","pending","UPSvbf8lzAV9r5Q4wmlt","alerts",""
"BQLMWvfLaZypycCG4x1v","MzLs9iITDGgt48tn1OKl3AiLa4I3","pending","UPSvbf8lzAV9r5Q4wmlt","alerts",""
"Dgb9pu7HXa1N38XwbNIw","Gkqht1SWiWdy5VOWjPRTsIB73nv1","pending","UPSvbf8lzAV9r5Q4wmlt","alerts",""
"JzUCX6Xt2BwsX5AmvZnT","O6kzqJCfwzWpEfnmtA2tBUwWezT2","pending","UPSvbf8lzAV9r5Q4wmlt","alerts",""
"ylclL7kp8Wsqzzv4ZdNN","tR7ymYxZOQVBVZnp1KupZLFY1jh2","pending","UPSvbf8lzAV9r5Q4wmlt","alerts",""
"0rgUYT4H7mkukhRyZtBw","IO0NqTWFKkWtiVsPcg3g4znR8Y32","pending","UPSvbf8lzAV9r5Q4wmlt","alerts",""
"47QP0A0CWtxVZh3QSrRX","eyg4jzU72eTwyaBcf2Juh4co7bq2","pending","UPSvbf8lzAV9r5Q4wmlt","alerts",""
