Name,Street,Municipality,Categories,Time Zone,Phone,Phones,Owner,Email,Social Medias,Review Count,Average Rating,Google Maps URL,Latitude,Longitude,Website,Domain,Image,Place Id,Sport
Padel Sporting Club Ostiense,"Via dei Cocchieri, 1a","Via del Mare, 128/Ingresso secondario","Padel club, Padel court, Sports club",Europe/Rome,+39 351 503 7472,"351 503 7472, +39 351 503 7472",Padel Sporting Club Ostiense (Owner),info@padel-roma.com,,275,4.5,https://www.google.com/maps?cid=5861198627216737518,41.8443946,12.467653,https://www.padel-roma.com/,padel-roma.com,https://lh3.googleusercontent.com/p/AF1QipNtKkvXG2GBqPNJgwkcX_p825iyk0loOw3s9OIH,ChIJP4PcpNuLJRMR7sRC9RgpV1E,padel
PALA LOCA Padel Club,"Via Cristoforo Colombo, 194b",00154 Roma RM,"Padel club, Gym, Padel court",Europe/Rome,+39 389 117 6171,"389 117 6171, +39 389 117 6171",PALA LOCA Padel Club (Owner),palalocapadel@gmail.com,"facebook: https://www.facebook.com/palalocapadel
instagram: https://www.instagram.com/palaloca_padelclub",208,4.7,https://www.google.com/maps?cid=15686263589297215246,41.8620376,12.4969511,https://palalocapadel.club/,palalocapadel.club,https://lh3.googleusercontent.com/p/AF1QipPfcIeRvqarTBD2caLmliILicsOuijUsnGK8_T6,ChIJO3An_MGLJRMRDlc0BaDNsNk,padel
Padel Park Roma,"Via Giovanni Mayer, 2",00127 Roma RM,Sports club,Europe/Rome,+39 334 707 5249,"334 707 5249, +39 334 707 5249",Padel Park Roma (Owner),,,101,4.5,https://www.google.com/maps?cid=3512814919597150479,41.8021583,12.4325828,,,https://lh3.googleusercontent.com/p/AF1QipMgAQ-L_WOLtLroNMv7bYBcFcrSEpCAuPRhcQA3,ChIJbSwB3ov1JRMRD9FHxI4GwDA,padel
Paradise Padel Roma,"Via degli Aldobrandeschi, 115",00163 Roma RM,Padel club,Europe/Rome,+39 391 416 9986,"391 416 9986, +39 391 416 9986",Paradise Padel Roma (Owner),info@padelparadise.it,"facebook: https://www.facebook.com/paradisebeachcity,https://www.facebook.com/paradisepadelclub
instagram: https://www.instagram.com/paradise_beach_city,https://www.instagram.com/paradisepadelclub",280,4.6,https://www.google.com/maps?cid=1821101744318473735,41.8776911,12.3995896,http://www.padelparadise.it/,padelparadise.it,https://lh3.googleusercontent.com/p/AF1QipO7ICzkR-1vINJK38_aMCbcT6r3AOi8wP7x3_nA,ChIJn6x5jH31JRMRB2bySWPaRRk,padel
White Padel,"Viale Antonio Ciamarra, 18",00173 Roma RM,Padel club,Europe/Rome,+39 351 825 3435,"351 825 3435, +39 351 825 3435",White Padel (Owner),,,227,4.7,https://www.google.com/maps?cid=2067693728366695497,41.8474238,12.5917396,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSypVBczvR_6NNT4ooofIkaPWHv7m7elLbVjT1-Ujd_W85SdWRaIjHZGvaPpmfve_HwYAB8BwuCn_CTJI2-rnyMMbYO90H12WVWm6Tz825psjROUGcBvFoHfX8w6MpYTmlaiYbaSQQ,ChIJ372yKZeJJRMRSZSZp33ssRw,padel
White Club Padel,"Via di Pratolungo Casilino, 44",00132 Roma RM,Sports club,Europe/Rome,+39 329 845 6825,"329 845 6825, +39 329 845 6825",White Club Padel (Owner),,"facebook: https://www.facebook.com/whiteclubpadel
instagram: https://instagram.com/whiteclubpadel",242,4.7,https://www.google.com/maps?cid=10753197818639974043,41.888362,12.6621774,https://linktr.ee/whiteclubpadel,linktr.ee,https://lh3.googleusercontent.com/p/AF1QipPd9yKcz4qzkfEu-6YHzlVM99KllthCm4hpm-cS,ChIJYwrV3Op9LxMRm36Kc3EIO5U,padel
Palme padel club,"Via Casilina, 1940/c",00132 Roma RM,"Sports club, Padel club, Sports complex",Europe/Rome,+39 389 290 9933,"389 290 9933, +39 389 290 9933",Palme padel club (Owner),,,81,4.7,https://www.google.com/maps?cid=7936492692727134827,41.8634122,12.6999332,https://playtomic.io/tenant/c7c99257-4788-46f6-b580-b0bad4455abd,playtomic.io,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzU4bluY7m5thr2WZPkt_kpEgJmg9Sc0Mtjii3_yX5kdSFeWvwr5K9K6FDdqr9rouyyLg5WSB-M3DoPjvw1bB6omoDYhKBD2nBraR1FZG2j09iBnHJZAT-fSJdufNsV_l1hTXJLaw,ChIJkSBskQt9LxMRa_p7AA4WJG4,padel
Padel Club Ardeatino,"Via di Tor Pagnotta, 392",00143 Roma RM,Sports club,Europe/Rome,+39 327 556 5388,"327 556 5388, +39 327 556 5388",Padel Club Ardeatino (Owner),,,80,4.9,https://www.google.com/maps?cid=16406913625644214065,41.8088681,12.5243697,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxgacFuoBnfqX906o_55lrvUvjqXql2bNVwiMDBbevZ1U-sYUx_WBKs1nYdL_RArDOJMwL3UchbKSh2cnhq3u2yWHW7nta2oviMk3zlGDzgnl8VDh0xK46nkuBk2SBwgQprbMdkOQ,ChIJy6pjkjOLJRMRMScK1QMRseM,padel
RED PADEL ROMA,"Via Ranuccio Bianchi Bandinelli, 48",00178 Roma RM,Padel court,Europe/Rome,+39 329 693 2680,"329 693 2680, +39 329 693 2680",RED PADEL ROMA (Owner),,,478,4.6,https://www.google.com/maps?cid=12345648546028597523,41.8196642,12.5841522,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyhaRcfEfCi6B-oQqTAPFx8jtrs1TFito_kactvmP46t49ViV8nv0RnH6HZ3UrnNTjov4g63fN9uP9yA2RYmIIm9TGjnktYUY4ir0k23gi8dkrfE3Jdi4a7y8RignpcIj6AvMlT,ChIJGzk0RIaJJRMREzHaS_GNVKs,padel
Madiba Padel club,"Via di Casal Morena, 180",00118 Roma RM,Sports club,Europe/Rome,+39 392 238 2314,"392 238 2314, +39 392 238 2314",Madiba Padel club (Owner),,,247,4.7,https://www.google.com/maps?cid=10064180150323260875,41.8166601,12.6189971,https://m.facebook.com/madibapadelclub/posts/118029267403322,m.facebook.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzau7KeU5ZxP3LsxWqGz6-gDelW_MnsuwTUJ1269IPrQFOYEz8tWYqxkhbNOt6H9oNxpTwbStYCQnRf_ArnJwaM322gAR5rdaM2iBRBL7H78bG3iQ4HfXChYB0GUi_3oFGtRN0,ChIJo4bAsLmJJRMRyy2OP4Ymq4s,padel
